method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,0,11,-689.9499976038933,-106.7799999192357,-20.30000026896596,-0.6591286966577172,False,False,True,5,76,True,True,24,22,4,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,1,1011,-1502.0500320792198,-173.6250005811453,-20.850000277161598,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,10,5,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,2,2011,-1481.7000278830528,-167.0850001052022,-20.370000272989273,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,13,8,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,3,3011,-1240.6500114798546,-121.51000003144145,-19.83000025525689,-0.9461782285943627,False,False,True,5,12,True,True,88,86,5,12,7,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,4,4011,-1416.9500145316124,-152.36500043794513,-20.00000024214387,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,15,10,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,5,5011,-1449.4500297904015,-167.44749957695603,-20.280000254511833,-0.9282376123592257,True,False,False,5,16,True,True,84,82,5,13,8,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,6,6011,-1498.0500320792198,-173.1300007365644,-20.100000262260437,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,9,4,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_000,7,7011,-980.4999966025352,-117.20250006020069,-19.250000223517418,-0.7847128612920642,False,False,True,5,48,True,True,52,50,5,10,5,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,0,12,-1418.449995458126,-160.20249930024147,-20.09000025689602,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,15,10,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,1,1012,-1486.5500320792198,-171.29000021517277,-21.31000028550625,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,16,11,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,2,2012,-1499.0500320792198,-172.52750059589744,-19.16000024229288,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,7,2,9,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,3,3012,-361.0999855399132,-67.38500034809113,-20.430000264197588,0.0,False,False,True,5,,False,False,0,0,4,7,2,,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,4,4012,-856.2500023245811,-121.01000009477139,-20.740000277757645,-0.7129504857584834,False,False,True,5,64,True,True,36,34,5,6,1,5,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,5,5012,-1210.8499984145164,-124.3349997214973,-20.690000284463167,-0.9102970259264112,False,False,True,5,20,True,True,80,78,4,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,6,6012,-1440.8500198721886,-156.91750052943826,-20.21000024676323,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,12,7,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_001,7,7012,-1459.5500130057335,-167.0875006057322,-20.8900002874434,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,12,7,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_002,0,13,-920.4500121474266,-125.62749985978007,-19.88000026717782,-0.748831688426435,True,False,False,5,56,True,True,44,42,4,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_002,1,1013,-1043.6499723792076,-127.45499983802438,-20.410000268369913,-0.8205940639600158,True,False,False,5,40,True,True,60,58,4,9,4,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_002,2,2013,-416.5999826788902,-81.51999999210238,-20.820000279694796,0.0,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_002,3,3013,-1401.850027501583,-164.43500085920095,-19.850000269711018,-0.9102970259264112,True,False,False,5,20,True,True,80,78,5,11,6,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage1_pref_003_ckpt_191,critical_safe_balanced_selected,episode_002,4,4013,-353.8499912619591,-69.33249993994832,-19.640000239014626,0.0,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
