method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,0,11,-830.2500051856041,-117.86499996110797,-20.860000271350145,-0.7129504857584834,False,False,True,5,64,True,True,36,34,4,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,1,1011,-1430.1500295996666,-166.3550000190735,-21.920000284910202,-1.2931485455483198,True,False,False,5,12,True,True,86,84,5,10,5,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,2,2011,-1460.2000278532505,-165.4024994149804,-21.84000028669834,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,3,3011,-1147.4500069022179,-115.12500017508864,-21.2200002707541,-0.9102970259264112,False,False,True,5,20,True,True,80,78,5,9,4,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,4,4011,-726.3999966979027,-109.759999550879,-21.940000295639038,-0.6680990047752857,False,False,True,5,74,True,True,26,24,5,7,2,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,5,5011,-188.49999371170998,-32.38000036776066,-21.31000028550625,0.0,False,False,True,45,,False,False,0,0,3,47,2,,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,6,6011,-1066.2500190138817,-137.34499947354198,-21.610000282526016,-0.8026534477248788,True,False,False,5,44,True,True,56,54,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_000,7,7011,-1289.799999177456,-129.9050004929304,-21.76000025868416,-0.9237524732016027,True,False,False,5,17,True,True,83,81,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_001,0,12,-1506.0500320792198,-172.87250027433038,-21.620000287890434,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,9,4,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_001,1,1012,-1395.3000149130821,-150.48249949142337,-22.65000030398369,-0.9461782285943627,True,True,False,5,12,True,True,88,86,5,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_001,2,2012,-1257.65002694726,-151.30999987199903,-20.980000257492065,-0.8744158232584596,True,False,False,5,28,True,True,72,70,4,10,5,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_001,3,3012,-707.8499912619591,-95.48250022530556,-21.200000256299973,-0.7129504857584834,False,False,True,5,64,True,True,36,34,4,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_001,4,4012,-425.84998220205307,-83.77249987050891,-21.46000027656555,0.0,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_1_4obj,11,stage2_ext_006_obj_0,gate_selected,episode_001,5,5012,-1316.0500015616417,-133.46249977499247,-22.510000303387642,-0.9461782285943627,True,True,False,5,12,True,True,88,86,5,6,1,2,False,Tier 3 Persistent Critical Breach
