method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,0,19,-498.8999961912632,-138.41750038415194,-24.73000033199787,-4.161544558592141,True,True,False,5,12,True,True,72,62,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,1,1019,-452.79999724030495,-130.72249979898334,-26.570000365376472,-5.156405925285071,True,True,False,5,12,True,False,49,37,4,6,1,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,2,2019,-434.4999970793724,-127.38750077784061,-25.050000354647636,-4.917970331385732,True,True,False,5,12,True,False,55,44,5,8,3,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,3,3019,-503.6999959349632,-139.6299997344613,-26.88000036776066,-6.629178205039352,True,True,False,5,16,True,True,49,33,5,7,2,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,4,4019,-443.8499960899353,-126.75249943137169,-26.04000034928322,-5.065841578878462,True,True,False,5,12,True,True,50,38,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,5,5019,-519.8999953567982,-141.18499937653542,-26.280000373721123,-6.630752479657531,True,True,False,5,18,True,True,52,36,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,6,6019,-372.89999800920486,-120.03000047430396,-25.24000035226345,-3.376683188136667,False,True,False,5,12,True,True,65,57,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_000,7,7019,-445.49999648332596,-120.42249968275428,-26.050000354647636,-5.191930705215782,False,True,False,5,12,True,False,45,33,5,7,2,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,0,20,-501.6999969780445,-136.69750037789345,-25.210000351071358,-3.9419405977241695,True,True,False,5,12,True,False,62,53,5,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,1,1020,-493.5999967157841,-132.82000055536628,-25.16000035405159,-4.686673266347498,True,True,False,5,16,True,True,68,57,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,2,2020,-381.44999772310257,-106.51999966800213,-24.99000033736229,-3.225940614938736,False,True,False,5,12,True,True,40,32,4,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,3,3020,-447.49999514222145,-126.95500056445599,-26.600000381469727,-4.747029709164053,True,True,False,5,12,True,False,50,39,5,7,2,3,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,4,4020,-530.2999967634678,-138.27250005304813,-25.120000332593918,-6.383584202732891,True,True,False,5,12,True,True,64,49,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,5,5020,-531.0499967634678,-143.23000007122755,-25.91000035405159,-5.85242571355775,True,True,False,5,12,True,True,65,51,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,6,6020,-403.5999957919121,-112.36999989673495,-25.650000348687172,-3.8714257362298667,False,True,False,5,20,True,False,38,29,5,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_001,7,7020,-348.0499977469444,-98.25750013813376,-25.37000034749508,-2.678792086429894,False,True,False,5,12,True,False,36,30,4,7,2,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_002,0,21,-451.0499978661537,-130.87250047177076,-26.58000037074089,-4.92199009237811,True,True,False,5,12,True,True,57,45,5,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_1_4obj,19,stage2_ext_019_obj_0,critical_safe_balanced_selected,episode_002,1,1021,-451.8999977707863,-129.62749979645014,-26.16000036895275,-5.59994062455371,True,True,False,5,12,True,True,48,35,5,6,1,2,False,Tier 3 Persistent Critical Breach
