method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,0,11,100,-1106.100013434887,-108.97999864444137,-21.440000280737877,-0.9102970259264112,False,False,True,5,20,True,True,80,78,4,6,1,1,94,0.94,0,0.0,0.4821328419446945,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,1,1011,100,-1238.6499882340431,-137.49750065803528,-22.400000274181366,-0.7192376181483269,True,True,False,9,16,True,False,81,80,5,10,1,1,88,0.88,0,0.0,0.46682409644126893,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,2,2011,100,-1321.299972832203,-146.45750089362264,-21.18000027537346,-0.9461782285943627,True,False,False,5,12,True,True,88,86,4,6,1,1,93,0.93,0,0.0,0.49641689777374265,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,3,3011,100,-604.3999909758568,-103.52250042185187,-20.900000244379044,-0.623247523792088,False,False,True,5,84,True,True,16,14,5,8,3,1,94,0.94,0,0.0,0.3415715512633324,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,4,4011,100,-1292.5500034689903,-135.58750001341105,-21.370000258088112,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,7,2,1,94,0.94,0,0.0,0.4997024667263031,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,5,5011,100,-1278.149973332882,-148.3075011894107,-20.800000235438347,-0.9102970259264112,True,False,False,5,20,True,True,80,78,5,7,2,1,94,0.94,0,0.0,0.4821297124028206,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,6,6011,100,-418.14998239278793,-85.4675002284348,-21.080000281333923,0.0,False,False,True,5,,False,False,0,0,4,6,1,,94,0.94,0,0.0,0.30862809270620345,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_000,7,7011,100,-1076.8500012755394,-129.59749980270863,-20.600000262260437,-0.8205940639600158,True,False,False,5,40,True,True,60,58,5,6,1,1,94,0.94,0,0.0,0.4382056939601898,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_001,0,12,100,-807.5499824881554,-108.70500100776553,-21.560000270605087,-0.748831688426435,False,False,True,5,56,True,True,44,42,4,6,1,1,94,0.94,0,0.0,0.4030659967660904,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_2_4obj,11,stage2_ext_018_obj_3,audit_selected,episode_001,1,1012,100,-1313.1000170111656,-136.84499935805798,-21.410000264644623,-0.9461782285943627,True,False,False,5,12,True,True,88,86,5,7,2,1,94,0.94,0,0.0,0.49970401495695116,False,Tier 3 Persistent Critical Breach
