method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_idx,rule_id,severity,blue_action_name,blue_target_hostname,blue_target_subnet,red_action_name,red_target_hostname,critical_state_before,critical_state_after,compromised_hosts_before,compromised_hosts_after,response_context
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,3,3011,41,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User1,User,ExploitRemoteService,,[],[],"[""User0"", ""User1""]","[""Enterprise2"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": null, ""window_end"": 47, ""window_start"": 38}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_000,4,4011,77,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User1,User,ExploitRemoteService,,[],[],"[""User0"", ""User4""]","[""Enterprise2"", ""User0"", ""User4""]","{""blue_first_relevant_response_after_critical"": 89, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 88, ""window_end"": 86, ""window_start"": 77}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_001,2,2012,57,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User1,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""Enterprise2"", ""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": 71, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 70, ""window_end"": 66, ""window_start"": 57}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,2,2013,21,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User1,User,ExploitRemoteService,,[],[],"[""User0"", ""User4""]","[""Enterprise2"", ""User0"", ""User4""]","{""blue_first_relevant_response_after_critical"": 41, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 40, ""window_end"": 25, ""window_start"": 16}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,3,3013,17,Q4_user_focus_after_enterprise_foothold,medium,Analyse,User1,User,DiscoverNetworkServices,,[],[],"[""User0"", ""User2""]","[""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": 34, ""blue_first_relevant_response_after_enterprise"": 11, ""enterprise_foothold_step"": 10, ""first_critical_hit_step"": 33, ""window_end"": 19, ""window_start"": 17}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,3,3013,18,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User1,User,ExploitRemoteService,,[],[],"[""User0"", ""User2""]","[""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": 34, ""blue_first_relevant_response_after_enterprise"": 11, ""enterprise_foothold_step"": 10, ""first_critical_hit_step"": 33, ""window_end"": 20, ""window_start"": 18}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,3,3013,19,Q4_user_focus_after_enterprise_foothold,medium,DecoyTomcat,User1,User,ExploitRemoteService,,[],[],"[""User0"", ""User2""]","[""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": 34, ""blue_first_relevant_response_after_enterprise"": 11, ""enterprise_foothold_step"": 10, ""first_critical_hit_step"": 33, ""window_end"": 21, ""window_start"": 19}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,3,3013,20,Q4_user_focus_after_enterprise_foothold,medium,DecoyFemitter,User2,User,PrivilegeEscalate,User2,[],[],"[""User0"", ""User2""]","[""User0"", ""User2""]","{""blue_first_relevant_response_after_critical"": 34, ""blue_first_relevant_response_after_enterprise"": 11, ""enterprise_foothold_step"": 10, ""first_critical_hit_step"": 33, ""window_end"": 22, ""window_start"": 20}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_002,7,7013,81,Q5_repeated_low_value_decoy_loop,medium,DecoyTomcat,User1,User,ExploitRemoteService,,[],[],"[""User0"", ""User3""]","[""Enterprise2"", ""User0"", ""User3""]","{""blue_first_relevant_response_after_critical"": 13, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": 12, ""window_end"": 88, ""window_start"": 79}"
ours_stage2_fair_critical_safe_v2_3_4obj,11,stage2_ext_016_obj_2,audit_shortlist,episode_003,1,1014,77,Q5_repeated_low_value_decoy_loop,medium,DecoyVsftpd,User0,User,ExploitRemoteService,,[],[],"[""User0"", ""User1""]","[""Enterprise2"", ""User0"", ""User1""]","{""blue_first_relevant_response_after_critical"": null, ""blue_first_relevant_response_after_enterprise"": 6, ""enterprise_foothold_step"": 5, ""first_critical_hit_step"": null, ""window_end"": 86, ""window_start"": 77}"
