method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,0,11,-1255.6999978423119,-128.109999217093,-19.940000254660845,-0.9603960514068604,True,False,False,5,20,True,True,80,78,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,1,1011,-1343.5499672293663,-151.57249979674816,-20.910000264644623,-0.9762376546859741,True,False,False,5,12,True,True,88,86,5,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,2,2011,-407.1999829635024,-80.30750016868114,-19.87000024691224,0.0,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,3,3011,-922.2999790608883,-117.12500021979213,-20.3000002540648,-0.9128713011741638,False,False,True,5,44,True,True,56,54,3,9,4,6,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,4,4011,-1021.7500090003014,-117.01000026986003,-20.940000254660845,-0.9287129044532776,False,False,True,5,36,True,True,64,62,4,14,9,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,5,5011,-1143.6500210165977,-137.51250012218952,-19.770000234246254,-0.9287129044532776,True,False,False,21,36,True,True,64,62,5,23,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,6,6011,-1382.200016438961,-151.6275004595518,-20.41000024974346,-0.9762376546859741,True,False,False,5,12,True,True,88,86,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_000,7,7011,-1327.7000126242638,-146.4924994185567,-18.620000198483467,-0.9603960514068604,True,False,False,5,20,True,True,80,78,5,10,5,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,0,12,-1391.449995458126,-157.64750074222684,-20.150000244379044,-0.9762376546859741,True,False,False,5,12,True,True,88,86,5,9,4,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,1,1012,-1391.5499824881554,-157.0324997380376,-20.490000251680613,-0.9762376546859741,True,False,False,5,12,True,True,88,86,5,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,2,2012,-1253.0499824881554,-146.67000017687678,-18.520000215619802,-0.9524752497673035,True,False,False,5,24,True,True,76,74,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,3,3012,-1140.6499695181847,-135.48500076681376,-19.91000023856759,-0.9445544481277466,True,False,False,5,28,True,True,72,70,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,4,4012,-832.8499898314476,-108.22250001505017,-20.640000242739916,-0.881188154220581,False,False,True,5,60,True,True,40,38,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,5,5012,-943.9999751448631,-120.79749935120344,-20.050000239163637,-0.9049504995346069,False,False,True,5,48,True,True,52,50,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,6,6012,-1142.2500061392784,-133.87250021472573,-19.880000237375498,-0.9287129044532776,True,False,False,5,36,True,True,64,62,5,11,6,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_001,7,7012,-1502.0500320792198,-173.28500044345856,-20.650000263005495,-0.9762376546859741,True,False,False,5,12,True,True,88,86,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,0,13,-1352.2500252127647,-161.52000036463141,-19.7000002451241,-0.9524752497673035,True,False,False,5,24,True,True,76,74,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,1,1013,-1141.8499702811241,-135.96249977871776,-20.010000251233578,-0.9366336464881897,True,False,False,5,32,True,True,68,66,5,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,2,2013,-805.2499784827232,-112.27249987050891,-20.910000253468752,-0.881188154220581,False,False,True,5,60,True,True,40,38,4,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,3,3013,-1261.8500046133995,-151.54000014811754,-19.890000246465206,-0.9445544481277466,True,False,False,5,28,True,True,72,70,5,9,4,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,4,4013,-928.6499752402306,-119.35250032320619,-19.380000218749046,-0.9049504995346069,False,False,True,5,48,True,True,52,50,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,5,5013,-505.0499862730503,-93.8599998652935,-18.960000205785036,-0.8178218007087708,False,False,True,5,92,True,True,8,6,5,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,6,6013,-1433.4500297904015,-166.72750027105212,-20.8900002874434,-0.9683168530464172,True,False,False,5,16,True,True,84,82,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_002,7,7013,-420.9999822974205,-83.6074999421835,-19.420000214129686,0.0,False,False,True,5,,False,False,0,0,4,9,4,,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_003,0,14,-1341.2500137388706,-158.3050008714199,-20.030000243335962,-0.9603960514068604,True,False,False,5,20,True,True,80,78,5,7,2,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_003,1,1014,-1172.65000385046,-134.23749978095293,-20.810000278055668,-0.9366336464881897,True,False,False,5,32,True,True,68,66,5,12,7,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_003,2,2014,-1341.6500000357628,-155.1650002747774,-20.12000024691224,-0.9603960514068604,True,False,False,5,20,True,True,80,78,5,6,1,5,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_003,3,3014,-1056.800011575222,-138.38250064849854,-21.09000027179718,-0.9049504995346069,True,False,False,5,48,True,True,52,50,5,12,7,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v2_4obj,11,stage1_pref_003_ckpt_096,critical_safe_balanced_selected,episode_003,4,4014,-272.9499985575676,-61.845000114291906,-19.130000203847885,0.0,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
