method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,0,11,-502.04999727010727,-131.63250049203634,-25.19000034034252,True,True,False,5,12,True,False,69,60,5,7,2,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,1,1011,-497.0499976873398,-132.86750093102455,-24.210000336170197,True,True,False,5,12,True,True,75,67,4,12,7,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,2,2011,-502.149997651577,-133.12750051170588,-26.350000381469727,True,True,False,5,12,True,True,71,61,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,3,3011,-539.049996316433,-142.3325001820922,-24.430000323802233,True,True,False,5,12,True,True,75,66,5,7,2,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,4,4011,-767.800005376339,-143.11750005930662,-23.420000314712524,True,True,False,5,12,True,True,76,70,5,9,4,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,5,5011,-524.5499967634678,-138.45750031992793,-24.770000338554382,True,True,False,5,12,True,True,74,65,5,6,1,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,6,6011,-498.2499980330467,-133.920001398772,-24.840000346302986,True,True,False,5,12,True,True,78,71,4,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_000,7,7011,-524.8499969244003,-135.6625006645918,-26.08000035583973,True,True,False,5,12,True,True,65,52,5,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,0,12,-481.04999819397926,-108.38500041514635,-25.000000342726707,False,True,False,5,12,True,True,58,50,5,13,8,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,1,1012,-498.69999450445175,-126.5350004248321,-24.99000035226345,True,True,False,5,32,True,True,61,55,5,6,1,7,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,2,2012,-503.54999673366547,-128.0725008547306,-24.380000323057175,True,True,False,5,12,True,True,67,56,4,7,2,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,3,3012,-806.0000080168247,-147.99999964237213,-24.420000329613686,True,True,False,5,12,True,True,79,72,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,4,4012,-501.3499979376793,-134.22750093787909,-25.99000035226345,True,True,False,5,12,True,False,74,67,5,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,5,5012,-508.2499980330467,-135.1325002349913,-23.750000312924385,True,True,False,5,12,True,True,76,68,5,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,6,6012,-501.39999812841415,-134.4450013153255,-25.770000353455544,True,True,False,5,12,True,True,78,71,4,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_001,7,7012,-571.3499993681908,-140.4575004093349,-23.6900003105402,True,True,False,5,12,True,True,75,66,5,9,4,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,0,13,-477.24999275803566,-116.8775005787611,-23.98000033199787,False,True,False,5,44,True,True,50,45,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,1,1013,-406.99999791383743,-116.33500009775162,-24.210000321269035,False,True,False,5,12,True,False,59,54,5,7,2,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,2,2013,-801.2500063478947,-154.60749953612685,-24.500000327825546,True,True,False,5,12,True,True,80,74,5,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,3,3013,-604.4999994635582,-134.85000114887953,-24.430000349879265,True,True,False,5,12,True,True,78,71,5,9,4,5,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,4,4013,-510.4999956190586,-134.42999940738082,-24.87000034749508,True,True,False,5,16,True,True,63,49,5,6,1,11,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,5,5013,-488.3999962210655,-127.81000058352947,-24.130000323057175,True,True,False,5,18,True,True,66,58,4,8,3,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,6,6013,-613.8499988913536,-130.46000019833446,-24.440000355243683,True,True,False,5,12,True,True,76,68,5,13,8,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,11,stage2_ext_001_obj_2,critical_safe_balanced,episode_002,7,7013,-580.4000005126,-136.2350004427135,-23.760000318288803,True,True,False,5,12,True,True,81,75,5,6,1,4,False,Tier 3 Persistent Critical Breach
