method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,0,19,-399.70000249147415,-110.13249938562512,-22.740000277757645,False,True,False,5,47,True,True,53,51,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,1,1019,-493.0499925017357,-122.79749989882112,-21.860000282526016,False,False,True,5,41,True,True,59,57,5,6,1,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,2,2019,-433.64999717473984,-110.3799996227026,-22.760000303387642,False,True,False,5,51,True,True,49,47,5,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,3,3019,-1190.2000135481358,-114.07000093534589,-23.100000321865082,False,True,False,5,16,True,True,84,82,5,11,6,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,4,4019,-363.2499856054783,-65.60750035941601,-22.59000028669834,False,True,False,5,,False,False,0,0,4,7,2,,False,Tier 1 Near-Miss
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,5,5019,-1388.4000205397606,-153.0249987617135,-21.93000030517578,True,False,False,5,17,True,True,83,81,5,6,1,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,6,6019,-348.59999907016754,-100.81999941915274,-23.53000032901764,False,True,False,13,32,True,True,62,59,5,16,3,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_000,7,7019,-603.5499910712242,-157.87749955803156,-21.63000027835369,True,False,False,5,22,True,True,78,76,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,0,20,-1033.1500114500523,-131.40249929577112,-21.710000291466713,True,False,False,5,49,True,True,51,49,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,1,1020,-461.4499939084053,-122.30999985709786,-22.43000029027462,False,True,False,5,31,True,False,59,58,5,9,4,3,False,Tier 2 Transient Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,2,2020,-896.9499909281731,-97.59999999776483,-21.790000274777412,False,False,True,13,37,True,False,58,57,4,14,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,3,3020,-293.7999910712242,-56.78500035777688,-21.660000294446945,False,False,True,17,,False,False,0,0,4,18,1,,False,Tier 1 Near-Miss
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,4,4020,-681.149994045496,-131.38499876484275,-22.120000302791595,True,True,False,5,20,True,True,70,67,4,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,5,5020,-290.5499925017357,-59.24500019475818,-22.330000296235085,False,True,False,21,92,True,True,8,6,4,25,4,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,6,6020,-788.499998986721,-152.2224989272654,-22.210000306367874,True,True,False,5,12,True,True,80,76,5,9,4,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_001,7,7020,-1285.1500191092491,-150.05499947816133,-21.730000272393227,True,False,False,5,28,True,True,72,70,5,9,4,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_001_obj_0,semantic_aware,episode_002,0,21,-424.6500019431114,-117.7249995097518,-22.170000284910202,False,True,False,5,37,True,True,62,59,4,8,3,1,False,Tier 3 Persistent Critical Breach
