method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,0,19,-374.24999755620956,-98.49999967962503,-25.14000028371811,False,True,False,5,46,True,True,48,45,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,1,1019,-322.4499970972538,-95.34500077739358,-27.40000031888485,False,True,False,5,28,True,False,51,48,4,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,2,2019,-365.74999862909317,-101.47000059485435,-28.33000038564205,False,True,False,5,22,True,True,52,47,4,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,3,3019,-436.89999786019325,-122.43250123411417,-27.580000326037407,False,True,False,5,16,True,True,61,53,5,6,1,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,4,4019,-305.59999799728394,-67.88000038266182,-28.11000034213066,False,True,False,5,12,True,False,8,6,4,6,1,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,5,5019,-332.4999965429306,-100.74249928817153,-26.48000031709671,False,True,False,5,24,True,True,62,58,3,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,6,6019,-341.69999873638153,-97.21000105887651,-28.220000371336937,False,True,False,5,27,True,True,56,52,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_000,7,7019,-371.8999983370304,-105.3700003027916,-27.100000336766243,False,True,False,5,22,True,True,56,50,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,0,20,-382.44999876618385,-112.16250080615282,-24.840000301599503,False,True,False,5,12,True,True,64,58,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,1,1020,-346.2999963462353,-104.05500016361475,-26.99000035598874,False,True,False,5,12,True,True,54,46,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,2,2020,-328.2499977350235,-102.57999934628606,-27.810000363737345,False,True,False,5,12,True,False,57,53,4,7,2,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,3,3020,-414.04999807477,-114.23500038683414,-27.130000323057175,False,True,False,5,12,True,False,66,61,4,7,2,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,4,4020,-379.29999750852585,-98.08000052720308,-26.090000320225954,False,True,False,5,28,True,True,50,45,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,5,5020,-408.4499991238117,-119.56500059366226,-28.090000346302986,False,True,False,5,12,True,True,68,62,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,6,6020,-349.94999645650387,-84.68000052124262,-27.090000331401825,False,True,False,5,51,True,True,29,24,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_001,7,7020,-396.94999662041664,-105.37750060856342,-25.870000291615725,False,True,False,5,38,True,True,52,49,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,0,21,-363.8999975323677,-97.02000049129128,-26.290000319480896,False,True,False,5,37,True,True,52,48,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,1,1021,-355.29999735951424,-97.25250026583672,-26.630000323057175,False,True,False,5,19,True,True,39,32,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,2,2021,-370.34999549388885,-113.31749929487705,-25.780000302940607,False,True,False,5,12,True,True,70,65,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,3,3021,-422.50000181794167,-125.53250032663345,-25.160000305622816,True,True,False,5,14,True,True,80,77,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,4,4021,-430.1499965786934,-112.76999997720122,-27.380000337958336,False,True,False,5,29,True,True,46,37,5,8,3,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,5,5021,-385.1500019431114,-118.21750104799867,-28.15000033378601,False,True,False,5,12,True,True,76,72,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,6,6021,-409.34999864548445,-114.03500106185675,-27.650000348687172,False,True,False,5,12,True,True,64,58,5,6,1,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,19,stage2_ext_000_obj_0,semantic_balanced,episode_002,7,7021,-404.9000009894371,-119.57750061154366,-25.580000311136246,False,True,False,5,12,True,True,74,69,5,6,1,4,False,Tier 3 Persistent Critical Breach
