method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,0,11,-333.3499975800514,-98.5200002156198,-26.850000370293856,False,True,False,5,18,True,False,46,41,4,7,2,3,False,Tier 2 Transient Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,1,1011,-448.69999754428864,-126.74749870598316,-28.630000412464142,True,True,False,5,12,True,True,48,35,4,12,7,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,2,2011,-332.4499972462654,-93.77000007033348,-29.280000418424606,False,True,False,5,26,True,True,28,21,4,6,1,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,3,3011,-520.2499961256981,-138.92999943345785,-26.280000362545252,True,True,False,5,12,True,True,63,48,5,7,2,4,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,4,4011,-514.9499949812889,-130.43750067800283,-26.810000374913216,True,True,False,5,22,True,True,58,48,5,10,5,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,5,5011,-383.1499973535538,-111.94249929487705,-27.84000039100647,False,True,False,5,12,True,True,56,48,4,6,1,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,6,6011,-432.44999796152115,-120.8300003260374,-28.080000400543213,False,True,False,5,12,True,True,54,44,4,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_000,7,7011,-536.8499974012375,-140.59000067412853,-27.84000037610531,True,True,False,5,12,True,True,70,59,5,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,0,12,-486.699998408556,-116.1424997150898,-26.84000037610531,False,True,False,5,12,True,False,57,49,5,7,2,7,False,Tier 2 Transient Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,1,1012,-625.6999992728233,-141.7100007534027,-27.8900004029274,True,True,False,5,16,True,True,66,56,5,6,1,10,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,2,2012,-519.399996638298,-133.94750033318996,-27.390000388026237,True,True,False,5,16,True,True,66,54,5,7,2,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,3,3012,-531.9499973356724,-140.68500037491322,-27.790000393986702,True,True,False,5,12,True,True,76,68,5,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,4,4012,-518.0999974310398,-136.1675011627376,-28.730000406503677,True,True,False,5,12,True,False,68,57,5,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,5,5012,-459.899997651577,-127.15000005438924,-25.990000367164612,True,True,False,5,12,True,True,68,60,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,6,6012,-512.5999979376793,-135.82250175997615,-28.160000383853912,True,True,False,5,12,True,True,76,68,4,6,1,2,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_001,7,7012,-406.6999987959862,-118.20499954745173,-26.440000373870134,False,True,False,5,12,True,True,52,43,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,0,13,-455.9999944269657,-112.1374998241663,-26.400000378489494,False,True,False,5,24,True,False,38,31,5,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,1,1013,-406.0499977469444,-115.51250042021275,-27.38000038638711,False,True,False,5,12,True,False,54,47,5,7,2,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,2,2013,-449.3000005185604,-135.42249978333712,-27.5900003798306,True,True,False,5,12,True,True,68,60,4,8,3,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,3,3013,-526.6999973654747,-139.48500113934278,-28.18000040948391,True,True,False,5,12,True,True,71,60,5,6,1,3,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,4,4013,-504.14999666810036,-132.79749984666705,-27.400000378489494,True,True,False,5,12,True,True,64,49,4,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,5,5013,-478.09999495744705,-122.89750076830387,-26.720000371336937,False,True,False,5,28,True,False,56,49,4,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,6,6013,-505.0499977171421,-136.24999995157123,-27.42000038921833,True,True,False,5,12,True,True,74,64,5,10,5,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_semantic_target,11,stage2_ext_006_obj_0,semantic_balanced_selected,episode_002,7,7013,-517.2499980032444,-137.207500487566,-26.260000348091125,True,True,False,5,12,True,True,77,69,5,6,1,4,False,Tier 3 Persistent Critical Breach
