selector,preference_index,preference,selected_policy_id,selected_utility,selected_passed_strict,selected_near_strict,selected_strict_margin,selected_business_return,selected_cost_return,selected_mean_violation,selected_final_critical_compromised_hosts,selected_high_disruption_action_rate
utility_argmax,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_191,-0.05000000074505806,False,False,-38.36161804199219,-163.86160278320312,-0.03700000047683716,38.86161804199219,1.0,0.00175
strict_lexi,0,"[0.0, 0.0, 1.0]",stage2_ext_011_obj_1,-23.941667556762695,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_191,-0.05000000074505806,False,False,-38.36161804199219,-163.86160278320312,-0.03700000047683716,38.86161804199219,1.0,0.00175
utility_argmax,1,"[0.0, 0.1, 0.9]",stage2_ext_000_obj_0,-16.243854522705078,False,False,-38.38068389892578,-163.88067626953125,-0.18700000643730164,38.88068389892578,1.0,0.00825
strict_lexi,1,"[0.0, 0.1, 0.9]",stage2_ext_011_obj_1,-33.15581512451172,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,1,"[0.0, 0.1, 0.9]",stage2_ext_000_obj_0,-16.243854522705078,False,False,-38.38068389892578,-163.88067626953125,-0.18700000643730164,38.88068389892578,1.0,0.00825
utility_argmax,2,"[0.0, 0.2, 0.8]",stage2_ext_000_obj_0,-32.2181282043457,False,False,-38.38068389892578,-163.88067626953125,-0.18700000643730164,38.88068389892578,1.0,0.00825
strict_lexi,2,"[0.0, 0.2, 0.8]",stage2_ext_011_obj_1,-42.369956970214844,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,2,"[0.0, 0.2, 0.8]",stage2_ext_000_obj_0,-32.2181282043457,False,False,-38.38068389892578,-163.88067626953125,-0.18700000643730164,38.88068389892578,1.0,0.00825
utility_argmax,3,"[0.0, 0.3, 0.7]",stage2_ext_000_obj_0,-48.19240188598633,False,False,-38.38068389892578,-163.88067626953125,-0.18700000643730164,38.88068389892578,1.0,0.00825
strict_lexi,3,"[0.0, 0.3, 0.7]",stage2_ext_011_obj_1,-51.5841064453125,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,3,"[0.0, 0.3, 0.7]",stage2_ext_000_obj_0,-48.19240188598633,False,False,-38.38068389892578,-163.88067626953125,-0.18700000643730164,38.88068389892578,1.0,0.00825
utility_argmax,4,"[0.0, 0.4, 0.6]",stage1_pref_000_ckpt_191,-58.883792877197266,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,4,"[0.0, 0.4, 0.6]",stage2_ext_011_obj_1,-60.79825210571289,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,4,"[0.0, 0.4, 0.6]",stage1_pref_000_ckpt_191,-58.883792877197266,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
utility_argmax,5,"[0.0, 0.5, 0.5]",stage1_pref_000_ckpt_191,-65.8659896850586,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,5,"[0.0, 0.5, 0.5]",stage2_ext_011_obj_1,-70.01239776611328,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,5,"[0.0, 0.5, 0.5]",stage1_pref_000_ckpt_191,-65.8659896850586,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
utility_argmax,6,"[0.0, 0.6, 0.4]",stage1_pref_000_ckpt_191,-72.84819030761719,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,6,"[0.0, 0.6, 0.4]",stage2_ext_011_obj_1,-79.22654724121094,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,6,"[0.0, 0.6, 0.4]",stage1_pref_000_ckpt_191,-72.84819030761719,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
