selector,preference_index,preference,selected_policy_id,selected_utility,selected_passed_strict,selected_near_strict,selected_strict_margin,selected_business_return,selected_cost_return,selected_mean_violation,selected_final_critical_compromised_hosts,selected_high_disruption_action_rate
utility_argmax,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_008,-4.0,False,False,-0.44999999999999996,-18.210750579833984,-4.057000160217285,0.0,0.7,0.825
strict_lexi,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_008,-4.0,False,False,-0.44999999999999996,-18.210750579833984,-4.057000160217285,0.0,0.7,0.825
risk_adjusted_utility,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_008,-4.0,False,False,-0.44999999999999996,-18.210750579833984,-4.057000160217285,0.0,0.7,0.825
utility_argmax,1,"[0.0, 0.1, 0.9]",stage1_pref_000_ckpt_015,-5.20074987411499,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,1,"[0.0, 0.1, 0.9]",stage1_pref_000_ckpt_008,-5.534124851226807,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,1,"[0.0, 0.1, 0.9]",stage1_pref_000_ckpt_015,-5.20074987411499,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,2,"[0.0, 0.2, 0.8]",stage1_pref_000_ckpt_015,-6.131500244140625,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,2,"[0.0, 0.2, 0.8]",stage1_pref_000_ckpt_008,-6.803249835968018,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
risk_adjusted_utility,2,"[0.0, 0.2, 0.8]",stage1_pref_000_ckpt_015,-6.131500244140625,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
utility_argmax,3,"[0.0, 0.3, 0.7]",stage1_pref_000_ckpt_015,-7.062250137329102,False,False,-0.65,-20.080249786376953,-4.36099910736084,0.0,0.9,0.925
strict_lexi,3,"[0.0, 0.3, 0.7]",stage1_pref_000_ckpt_008,-8.07237434387207,False,False,-0.44999999999999996,-17.712499618530273,-4.228999614715576,0.0,0.7,0.9
