selector,preference_index,preference,selected_policy_id,selected_utility,selected_passed_strict,selected_near_strict,selected_strict_margin,selected_business_return,selected_cost_return,selected_mean_violation,selected_final_critical_compromised_hosts,selected_high_disruption_action_rate
utility_argmax,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_191,-0.05000000074505806,False,False,-38.360618591308594,-163.86062622070312,-0.03700000047683716,38.860618591308594,1.0,0.00175
strict_lexi,0,"[0.0, 0.0, 1.0]",stage2_ext_005_obj_0,-24.388334274291992,False,False,-5.559188365936279,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939
risk_adjusted_utility,0,"[0.0, 0.0, 1.0]",stage1_pref_002_ckpt_191,-0.05000000074505806,False,False,-38.360618591308594,-163.86062622070312,-0.03700000047683716,38.860618591308594,1.0,0.00175
utility_argmax,1,"[0.0, 0.1, 0.9]",stage1_pref_002_ckpt_191,-16.43187713623047,False,False,-38.360618591308594,-163.86062622070312,-0.03700000047683716,38.860618591308594,1.0,0.00175
strict_lexi,1,"[0.0, 0.1, 0.9]",stage2_ext_005_obj_0,-33.4061164855957,False,False,-5.559188365936279,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939
risk_adjusted_utility,1,"[0.0, 0.1, 0.9]",stage1_pref_002_ckpt_191,-16.43187713623047,False,False,-38.360618591308594,-163.86062622070312,-0.03700000047683716,38.860618591308594,1.0,0.00175
utility_argmax,2,"[0.0, 0.2, 0.8]",stage2_ext_007_obj_0,-32.70764923095703,False,False,-38.38493347167969,-163.88491821289062,-0.38350000977516174,38.88493347167969,1.0,0.01625
strict_lexi,2,"[0.0, 0.2, 0.8]",stage2_ext_005_obj_0,-42.42389678955078,False,False,-5.559188365936279,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939
risk_adjusted_utility,2,"[0.0, 0.2, 0.8]",stage2_ext_007_obj_0,-32.70764923095703,False,False,-38.38493347167969,-163.88491821289062,-0.38350000977516174,38.88493347167969,1.0,0.01625
utility_argmax,3,"[0.0, 0.3, 0.7]",stage2_ext_007_obj_0,-48.927101135253906,False,False,-38.38493347167969,-163.88491821289062,-0.38350000977516174,38.88493347167969,1.0,0.01625
strict_lexi,3,"[0.0, 0.3, 0.7]",stage2_ext_005_obj_0,-51.441680908203125,False,False,-5.559188365936279,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939
risk_adjusted_utility,3,"[0.0, 0.3, 0.7]",stage2_ext_007_obj_0,-48.927101135253906,False,False,-38.38493347167969,-163.88491821289062,-0.38350000977516174,38.88493347167969,1.0,0.01625
utility_argmax,4,"[0.0, 0.4, 0.6]",stage1_pref_000_ckpt_191,-58.883792877197266,False,False,-10.004000663757324,-105.75480651855469,-30.629247665405273,10.504000663757324,0.45,0.9855
strict_lexi,4,"[0.0, 0.4, 0.6]",stage2_ext_005_obj_0,-60.45945739746094,False,False,-5.559188365936279,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939
risk_adjusted_utility,4,"[0.0, 0.4, 0.6]",stage2_ext_006_obj_1,-59.903587341308594,False,False,-8.928937911987305,-104.29762268066406,-29.80950355529785,9.428937911987305,0.475,0.976
utility_argmax,5,"[0.0, 0.5, 0.5]",stage1_pref_000_ckpt_191,-65.8659896850586,False,False,-10.004000663757324,-105.75480651855469,-30.629247665405273,10.504000663757324,0.45,0.9855
strict_lexi,5,"[0.0, 0.5, 0.5]",stage2_ext_005_obj_0,-69.47724151611328,False,False,-5.559188365936279,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939
risk_adjusted_utility,5,"[0.0, 0.5, 0.5]",stage2_ext_006_obj_1,-67.41656494140625,False,False,-8.928937911987305,-104.29762268066406,-29.80950355529785,9.428937911987305,0.475,0.976
utility_argmax,6,"[0.0, 0.6, 0.4]",stage1_pref_000_ckpt_191,-72.84819030761719,False,False,-10.004000663757324,-105.75480651855469,-30.629247665405273,10.504000663757324,0.45,0.9855
strict_lexi,6,"[0.0, 0.6, 0.4]",stage2_ext_005_obj_0,-78.49502563476562,False,False,-5.559188365936279,-119.55012512207031,-24.192750930786133,6.059188365936279,0.9,0.939
risk_adjusted_utility,6,"[0.0, 0.6, 0.4]",stage2_ext_006_obj_1,-74.92955017089844,False,False,-8.928937911987305,-104.29762268066406,-29.80950355529785,9.428937911987305,0.475,0.976
