policy_id,checkpoint_path,cached_mean_violation,recomputed_mean_violation,mean_violation_abs_diff,normalized_mean_violation,cached_high_disruption_action_rate,recomputed_high_disruption_action_rate,high_disruption_abs_diff,business_return,business_threshold,business_margin,business_sign_ok,cost_return,cost_threshold,cost_margin,cost_sign_ok,cached_final_critical_compromised_hosts,recomputed_final_critical_compromised_hosts,feasible_rate,semantic_total_high_disruption_action_count,semantic_total_action_count
stage1_pref_000_ckpt_096,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_000_ckpt_096.pt,4.616562366485596,4.616562366485596,0.0,0.1651675117666071,0.939,0.939,0.0,-112.79475402832031,-125.0,12.205245971679688,True,-25.423748016357422,-22.0,-3.423748016357422,True,0.525,0.525,0.0,3756.0,4000.0
stage1_pref_000_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_000_ckpt_191.pt,11.166250228881836,11.166250228881836,0.0,0.4188270164316351,0.99025,0.99025,0.0,-109.0921859741211,-125.0,15.907814025878906,True,-30.797250747680664,-22.0,-8.797250747680664,True,0.375,0.375,0.0,3961.0,4000.0
stage1_pref_002_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_002_ckpt_191.pt,38.86161804199219,38.86161804199219,0.0,0.31089293823242187,0.00175,0.00175,0.0,-163.86160278320312,-125.0,-38.861602783203125,True,-0.03700000047683716,-22.0,21.962999999523163,True,1.0,1.0,0.0,7.0,4000.0
stage1_pref_003_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_003_ckpt_191.pt,10.50500202178955,10.50500202178955,0.0,0.34972385137731377,0.99425,0.99425,0.0,-119.70206451416016,-125.0,5.297935485839844,True,-29.0935001373291,-22.0,-7.093500137329102,True,0.625,0.625,0.0,3977.0,4000.0
stage1_pref_004_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_004_ckpt_191.pt,25.202251434326172,25.202251434326172,0.0,0.20161800079345701,0.7365,0.7365,0.0,-145.59881591796875,-125.0,-20.59881591796875,True,-19.194751739501953,-22.0,2.805248260498047,True,0.85,0.85,0.17499999701976776,2946.0,4000.0
stage1_pref_005_ckpt_096,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_005_ckpt_096.pt,18.30093765258789,18.30093765258789,0.0,0.14640750732421876,0.89,0.89,0.0,-139.7053680419922,-125.0,-14.705368041992188,True,-19.241500854492188,-22.0,2.7584991455078125,True,0.975,0.975,0.125,3560.0,4000.0
stage2_ext_000_obj_0,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2_deployability_v2/seed_0007/run_afd914e3/policy_stage2_000.pt,7.0381879806518555,7.0381879806518555,0.0,0.05630550384521484,0.66225,0.66225,0.0,-130.9716339111328,-125.0,-5.9716339111328125,True,-17.626001358032227,-22.0,4.373998641967773,True,1.0,1.0,0.125,2649.0,4000.0
stage2_ext_001_obj_1,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2_deployability_v2/seed_0007/run_afd914e3/policy_stage2_001.pt,7.9826250076293945,7.9826250076293945,0.0,0.06386099548339844,0.547,0.547,0.0,-132.72312927246094,-125.0,-7.7231292724609375,True,-15.98699951171875,-22.0,6.01300048828125,True,0.975,0.975,0.05000000074505806,2188.0,4000.0
stage2_ext_002_obj_0,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2_deployability_v2/seed_0007/run_afd914e3/policy_stage2_002.pt,24.124313354492188,24.124313354492188,0.0,0.19299450378417968,0.7495,0.7495,0.0,-141.71644592285156,-125.0,-16.716445922851562,True,-18.987499237060547,-22.0,3.012500762939453,True,0.825,0.825,0.2750000059604645,2998.0,4000.0
stage2_ext_003_obj_0,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2_deployability_v2/seed_0007/run_afd914e3/policy_stage2_003.pt,15.587811470031738,15.587811470031738,0.0,0.12501149805242368,0.885,0.885,0.0,-140.24288940429688,-125.0,-15.242889404296875,True,-20.866750717163086,-22.0,1.133249282836914,True,0.925,0.925,0.125,3540.0,4000.0
