policy_id,checkpoint_path,cached_mean_violation,recomputed_mean_violation,mean_violation_abs_diff,normalized_mean_violation,cached_high_disruption_action_rate,recomputed_high_disruption_action_rate,high_disruption_abs_diff,business_return,business_threshold,business_margin,business_sign_ok,cost_return,cost_threshold,cost_margin,cost_sign_ok,cached_final_critical_compromised_hosts,recomputed_final_critical_compromised_hosts,feasible_rate,semantic_total_high_disruption_action_count,semantic_total_action_count
stage1_pref_000_ckpt_096,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_000_ckpt_096.pt,4.616562366485596,4.616562366485596,0.0,0.1651675117666071,0.939,0.939,0.0,-112.79475402832031,-125.0,12.205245971679688,True,-25.423748016357422,-22.0,-3.423748016357422,True,0.525,0.525,0.0,3756.0,4000.0
stage1_pref_000_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_000_ckpt_191.pt,11.166250228881836,11.166250228881836,0.0,0.4188270164316351,0.99025,0.99025,0.0,-109.0921859741211,-125.0,15.907814025878906,True,-30.797250747680664,-22.0,-8.797250747680664,True,0.375,0.375,0.0,3961.0,4000.0
stage1_pref_001_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_001_ckpt_191.pt,9.349874496459961,9.349874496459961,0.0,0.0747990005493164,0.59025,0.59025,0.0,-134.1558074951172,-125.0,-9.155807495117188,True,-16.087249755859375,-22.0,5.912750244140625,True,1.0,1.0,0.02500000037252903,2361.0,4000.0
stage1_pref_002_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_002_ckpt_191.pt,38.86161804199219,38.86161804199219,0.0,0.31089293823242187,0.00175,0.00175,0.0,-163.86160278320312,-125.0,-38.861602783203125,True,-0.03700000047683716,-22.0,21.962999999523163,True,1.0,1.0,0.0,7.0,4000.0
stage1_pref_003_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_003_ckpt_191.pt,10.50500202178955,10.50500202178955,0.0,0.34972385137731377,0.99425,0.99425,0.0,-119.70206451416016,-125.0,5.297935485839844,True,-29.0935001373291,-22.0,-7.093500137329102,True,0.625,0.625,0.0,3977.0,4000.0
stage1_pref_004_ckpt_191,/home/waylandlee/Cyber-CMORL/CybORG_plus_plus/cmorl_cyborg/outputs/paper_appendix/stage1_only/seed_0007/run_0f4d9065/policy_pref_004_ckpt_191.pt,25.202251434326172,25.202251434326172,0.0,0.20161800079345701,0.7365,0.7365,0.0,-145.59881591796875,-125.0,-20.59881591796875,True,-19.194751739501953,-22.0,2.805248260498047,True,0.85,0.85,0.17499999701976776,2946.0,4000.0
stage2_ext_003_obj_0,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2/seed_0007/run_ddb937f9/policy_stage2_003.pt,7.695374965667725,7.695374965667725,0.0,0.061562995910644534,0.647,0.647,0.0,-132.56825256347656,-125.0,-7.5682525634765625,True,-17.226999282836914,-22.0,4.773000717163086,True,1.0,1.0,0.02500000037252903,2588.0,4000.0
stage2_ext_005_obj_0,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2/seed_0007/run_ddb937f9/policy_stage2_005.pt,5.377501010894775,5.377501010894775,0.0,0.13009247134815563,0.943,0.943,0.0,-117.69425201416016,-125.0,7.305747985839844,True,-24.321250915527344,-22.0,-2.3212509155273438,True,0.75,0.75,0.0,3772.0,4000.0
stage2_ext_006_obj_1,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2/seed_0007/run_ddb937f9/policy_stage2_006.pt,11.508625030517578,11.508625030517578,0.0,0.38106828885511923,0.97975,0.97975,0.0,-114.1139907836914,-125.0,10.886009216308594,True,-29.715999603271484,-22.0,-7.715999603271484,True,0.55,0.55,0.0,3919.0,4000.0
stage2_ext_007_obj_0,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2/seed_0007/run_ddb937f9/policy_stage2_007.pt,38.91618728637695,38.91618728637695,0.0,0.31132947082519535,0.015,0.015,0.0,-163.91616821289062,-125.0,-38.916168212890625,True,-0.32450002431869507,-22.0,21.675499975681305,True,1.0,1.0,0.0,60.0,4000.0
stage2_ext_011_obj_0,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2/seed_0007/run_ddb937f9/policy_stage2_011.pt,22.518186569213867,22.518186569213867,0.0,0.18014549560546875,0.78575,0.78575,0.0,-142.58837890625,-125.0,-17.58837890625,True,-19.496749877929688,-22.0,2.5032501220703125,True,0.875,0.875,0.2750000059604645,3143.0,4000.0
stage2_ext_013_obj_2,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_table_a/ours_stage2/seed_0007/run_ddb937f9/policy_stage2_013.pt,37.71862030029297,37.71862030029297,0.0,0.3017489837646485,0.46175,0.46175,0.0,-160.6574249267578,-125.0,-35.65742492675781,True,-12.232250213623047,-22.0,9.767749786376953,True,1.0,1.0,0.02500000037252903,1847.0,4000.0
