seed,method_name,display_group,hypervolume,expected_utility
7,ours_stage2_v2_4,Ours Stage2 V2.4,17147000.5,-46.78479151459007
7,stage1_only_4obj,Stage1 Only 4obj,16902615.0,-46.80887161101494
7,weighted_sum_4obj,Weighted-Sum 4obj,6705431.45225,-136.9438199511358
7,preference_conditioned_ppo_4obj,Preference-Conditioned PPO 4obj,2467497.375,-154.83773146225855
11,ours_stage2_v2_4,Ours Stage2 V2.4,27255334.0,-36.65778653021459
11,stage1_only_4obj,Stage1 Only 4obj,25894126.0,-42.71834391022062
11,weighted_sum_4obj,Weighted-Sum 4obj,5155525.4375,-171.15155205964209
11,preference_conditioned_ppo_4obj,Preference-Conditioned PPO 4obj,5314276.0,-175.94619785905718
19,ours_stage2_v2_4,Ours Stage2 V2.4,24327014.0,-42.315297525245825
19,stage1_only_4obj,Stage1 Only 4obj,23717788.0,-45.11319910938089
19,weighted_sum_4obj,Weighted-Sum 4obj,5653879.53125,-176.60450103066185
19,preference_conditioned_ppo_4obj,Preference-Conditioned PPO 4obj,3257620.63008,-173.0173290801215
