method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,0,11,100,-96.09999746084213,-14.317500330507755,-19.08000023663044,0.0,False,False,True,25,,False,False,0,0,3,26,1,,3,0.03,0,0.0,0.02999992489814758,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,1,1011,100,-169.19999438524246,-28.92000012099743,-29.040000423789024,0.0,False,True,False,5,,False,False,0,0,3,6,1,,45,0.45,0,0.0,0.44999887347221373,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,2,2011,100,-95.09999746084213,-14.725000366568565,-19.84000027179718,0.0,False,False,True,5,,False,False,0,0,3,6,1,,3,0.03,0,0.0,0.02999992489814758,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,3,3011,100,-159.09999457001686,-28.555000010877848,-29.480000436306,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999881088733675,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,4,4011,100,-99.19999724626541,-15.605000339448452,-20.120000272989273,0.0,False,False,True,9,,False,False,0,0,3,10,1,,6,0.06,0,0.0,0.05999984979629516,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,5,5011,100,-95.79999738931656,-14.900000356137753,-19.480000257492065,0.0,False,False,True,9,,False,False,0,0,3,10,1,,4,0.04,0,0.0,0.039999899864196775,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,6,6011,100,-88.99999767541885,-13.712500374764204,-19.280000269412994,0.0,False,False,True,,,False,False,0,0,2,,,,0,0.0,0,0.0,0.0,False,Tier 0 Safe
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_000,7,7011,100,-94.3999975323677,-13.91750032454729,-19.480000257492065,0.0,False,False,True,73,,False,False,0,0,3,74,1,,2,0.02,0,0.0,0.019999948740005494,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,0,12,100,-101.89999717473984,-15.327500276267529,-20.320000275969505,0.0,False,False,True,17,,False,False,0,0,3,18,1,,7,0.07,0,0.0,0.06999982476234436,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,1,1012,100,-172.59999424219131,-29.51500015333295,-29.56000043451786,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999882340431215,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,2,2012,100,-123.09999564290047,-24.9774997420609,-29.120000422000885,0.0,False,True,False,5,,False,False,0,0,2,6,1,,47,0.47,0,0.0,0.46999876797199247,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,3,3012,100,-95.09999746084213,-14.585000358521938,-19.360000252723694,0.0,False,False,True,81,,False,False,0,0,3,82,1,,3,0.03,0,0.0,0.02999992489814758,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,4,4012,100,-97.49999731779099,-15.377500362694263,-20.280000284314156,0.0,False,False,True,53,,False,False,0,0,3,54,1,,5,0.05,0,0.0,0.04999987483024597,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,5,5012,100,-170.59999424219131,-29.660000164061785,-29.280000433325768,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999882340431215,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,6,6012,100,-170.59999424219131,-29.625000093132257,-28.68000040948391,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999879539012906,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_001,7,7012,100,-96.79999738931656,-14.677500303834677,-20.280000284314156,0.0,False,False,True,33,,False,False,0,0,3,34,1,,4,0.04,0,0.0,0.03999989748001099,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,0,13,100,-93.3999975323677,-14.040000330656767,-19.640000268816948,0.0,False,False,True,41,,False,False,0,0,3,42,1,,2,0.02,0,0.0,0.019999949932098388,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,1,1013,100,-131.0999954044819,-25.832499772310257,-29.120000422000885,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699987769126892,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,2,2013,100,-170.59999424219131,-29.90000008046627,-29.02000041306019,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999882340431215,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,3,3013,100,-97.09999746084213,-14.580000303685665,-20.05000026524067,0.0,False,False,True,13,,False,False,0,0,3,14,1,,3,0.03,0,0.0,0.02999992489814758,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,4,4013,100,-158.0999946296215,-28.31999994814396,-29.200000420212746,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999880850315096,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,5,5013,100,-171.599994212389,-30.017500080168247,-29.410000428557396,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999882340431215,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,6,6013,100,-93.69999760389328,-13.832500360906124,-19.96000027656555,0.0,False,False,True,5,,False,False,0,0,3,6,1,,1,0.01,0,0.0,0.009999974370002747,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_002,7,7013,100,-96.79999738931656,-15.010000336915255,-19.680000260472298,0.0,False,False,True,53,,False,False,0,0,3,54,1,,4,0.04,0,0.0,0.03999989748001099,False,Tier 1 Near-Miss
no_constraint_stage2_4obj,11,stage2_ext_002_obj_2,selected,episode_003,0,14,100,-154.09999471902847,-28.179999947547913,-29.000000417232513,0.0,False,True,False,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999880492687224,False,Tier 1 Near-Miss
