method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,0,7,100,-1042.8500065207481,-107.64000012353063,-17.670000210404396,,False,False,True,5,32,True,True,68,66,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,1,1007,100,-1355.6500000357628,-132.8299999833107,-19.090000227093697,,True,False,False,5,12,True,True,88,86,5,6,1,4,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,2,2007,100,-972.1500071883202,-101.42249911278486,-18.860000237822533,,False,False,True,5,36,True,True,64,62,4,6,1,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,3,3007,100,-1095.5500153899193,-164.47249925881624,-19.570000246167183,,True,False,False,5,12,True,True,86,83,5,6,1,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,4,4007,100,-644.5499991476536,-80.36499946564436,-18.010000199079514,,False,False,True,5,66,True,True,34,32,3,7,2,5,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,5,5007,100,-1158.0499981939793,-121.86499937623739,-20.440000265836716,,False,False,True,5,22,True,True,78,76,5,7,2,3,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,6,6007,100,-497.1999985277653,-131.16499917954206,-19.850000247359276,,True,False,False,5,12,True,True,86,83,3,9,4,8,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_000,7,7007,100,-1320.0000003874302,-129.47249891981483,-18.50000023841858,,True,False,False,5,12,True,True,88,86,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_001,0,8,100,-1262.2499917149544,-127.017499409616,-18.0700002014637,,True,False,False,5,12,True,True,88,86,4,8,3,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_001,1,1008,100,-1359.0999960303307,-145.0799996741116,-16.860000178217888,,True,False,False,5,12,True,True,88,86,5,8,3,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_001,2,2008,100,-1330.700001180172,-131.42999945953488,-19.000000223517418,,True,False,False,5,12,True,True,88,86,5,10,5,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_001,3,3008,100,-1141.700013101101,-105.51249858364463,-18.91000024974346,,False,False,True,5,16,True,True,84,82,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_001,4,4008,100,-1185.5500157475471,-106.95500023663044,-15.700000196695328,,False,False,True,5,12,True,True,88,86,4,7,2,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_001,5,5008,100,-1380.7000049948692,-138.5424995496869,-19.650000229477882,,True,False,False,5,12,True,True,88,86,5,6,1,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,7,stage2_ext_022_obj_1,selected,episode_001,6,6008,100,-464.3499923348427,-112.74249888211489,-21.420000299811363,,False,False,True,5,14,True,True,84,81,4,6,1,3,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
