method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,0,11,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,1,1011,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,2,2011,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,3,3011,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,4,4011,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,5,5011,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,6,6011,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_000,7,7011,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999445497989656,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,0,12,100,-170.59999424219131,-27.824999451637268,-19.000000283122063,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,1,1012,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,2,2012,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,3,3012,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,4,4012,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,5,5012,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999445497989656,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,6,6012,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_001,7,7012,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,0,13,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944561719894,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,1,1013,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,2,2013,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999445378780363,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,3,3013,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,4,4013,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,5,5013,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,6,6013,100,-170.59999424219131,-27.914999455213547,-19.000000283122063,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_002,7,7013,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.469994455575943,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,0,14,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999445497989656,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,1,1014,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,2,2014,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,3,3014,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944543838501,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,4,4014,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,5,5014,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,6,6014,100,-170.59999424219131,-27.78499945998192,-19.000000283122063,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999445378780363,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_003,7,7014,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_004,0,15,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_004,1,1015,100,-170.59999424219131,-27.777499437332153,-18.88000027835369,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.46999492943286897,False,Tier 1 Near-Miss
ours_stage2_v2_4,11,stage2_ext_005_obj_1,selected,episode_004,2,2015,100,-170.59999424219131,-27.77499943971634,-18.80000028014183,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699944531917572,False,Tier 1 Near-Miss
