method_name,display_name,seed,phase_name,phase_label,total_phase_steps,action_rate.restore,action_rate.decoy,action_rate.analyse,action_rate.remove,action_rate.sleep,action_rate.other,target_rate.critical_path_host,target_rate.compromised_enterprise_or_operational_host,target_rate.user_host,target_rate.non_compromised_host,target_rate.no_target_or_other
ours_stage2_v2_4,Constraint-Aware Stage-2,7,foothold,Foothold,8486,0.0014140938015555031,0.022979024275276927,0.9740749469714824,0.0014140938015555031,0.00011784115012962527,0.0,0.10004713646005185,0.0,0.8930002356823002,0.006834786707518265,0.00011784115012962527
ours_stage2_v2_4,Constraint-Aware Stage-2,7,precritical,Pre-Critical,7514,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ours_stage2_v2_4,Constraint-Aware Stage-2,7,critical_present,Critical-Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ours_stage2_v2_4,Constraint-Aware Stage-2,11,foothold,Foothold,8480,0.0,0.0010613207547169811,0.0009433962264150943,0.0001179245283018868,0.997877358490566,0.0,0.00035377358490566035,0.0,0.0012971698113207546,0.0004716981132075472,0.997877358490566
ours_stage2_v2_4,Constraint-Aware Stage-2,11,precritical,Pre-Critical,7520,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ours_stage2_v2_4,Constraint-Aware Stage-2,11,critical_present,Critical-Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ours_stage2_v2_4,Constraint-Aware Stage-2,19,foothold,Foothold,8480,0.0,0.0002358490566037736,0.0004716981132075472,0.0002358490566037736,0.0,0.9990566037735849,0.0005896226415094339,0.0,0.00035377358490566035,0.0,0.9990566037735849
ours_stage2_v2_4,Constraint-Aware Stage-2,19,precritical,Pre-Critical,7520,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ours_stage2_v2_4,Constraint-Aware Stage-2,19,critical_present,Critical-Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_constraint_stage2_4obj,Unconstrained Stage-2,7,foothold,Foothold,10050,0.05830845771144279,0.46766169154228854,0.18507462686567164,0.015920398009950248,0.268955223880597,0.004079601990049751,0.32477611940298506,0.0,0.33681592039800995,0.06537313432835822,0.27303482587064676
no_constraint_stage2_4obj,Unconstrained Stage-2,7,precritical,Pre-Critical,5950,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
no_constraint_stage2_4obj,Unconstrained Stage-2,7,critical_present,Critical-Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_constraint_stage2_4obj,Unconstrained Stage-2,11,foothold,Foothold,11386,0.01782891269980678,0.8886351659933251,0.09098893377832426,0.002459160372387142,8.782715615668365e-05,0.0,0.5792200948533287,0.0,0.3557878095907255,0.06490426839978922,8.782715615668365e-05
no_constraint_stage2_4obj,Unconstrained Stage-2,11,precritical,Pre-Critical,4614,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
no_constraint_stage2_4obj,Unconstrained Stage-2,11,critical_present,Critical-Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_constraint_stage2_4obj,Unconstrained Stage-2,19,foothold,Foothold,11055,0.00642243328810493,0.5818181818181818,0.361284486657621,0.04911804613297151,0.0,0.0013568521031207597,0.4772501130710086,0.0,0.5082767978290367,0.013116236996834011,0.0013568521031207597
no_constraint_stage2_4obj,Unconstrained Stage-2,19,precritical,Pre-Critical,4945,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
no_constraint_stage2_4obj,Unconstrained Stage-2,19,critical_present,Critical-Present,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
