seed,candidate_label,policy_id,hostname,subnet,role_group,is_critical,compromised_presence_rate,new_compromise_count,recovered_count,blue_target_count,blue_restore_count,blue_analyse_count,blue_decoy_count,red_target_count,red_impact_count
7,selected,stage2_ext_008_obj_0,User0,User,user,False,1.0,0,0,181,17,28,115,0,0
7,selected,stage2_ext_008_obj_0,User1,User,user,False,0.2818,46,0,1901,1,1691,142,46,0
7,selected,stage2_ext_008_obj_0,User2,User,user,False,0.2103,35,1,222,18,2,172,35,0
7,selected,stage2_ext_008_obj_0,User3,User,user,False,0.2328,38,0,273,2,4,253,422,0
7,selected,stage2_ext_008_obj_0,User4,User,user,False,0.1668,103,84,808,477,1,326,458,0
7,selected,stage2_ext_008_obj_0,Defender,Enterprise,defender,False,0.0,0,0,119,38,9,66,0,0
7,selected,stage2_ext_008_obj_0,Enterprise0,Enterprise,enterprise,False,0.1379,2206,2143,4932,2155,62,2709,2143,0
7,selected,stage2_ext_008_obj_0,Enterprise1,Enterprise,enterprise,False,0.243,3888,3807,3932,3810,1,120,3807,0
7,selected,stage2_ext_008_obj_0,Enterprise2,Enterprise,enterprise,False,0.0,0,0,218,5,30,181,0,0
7,selected,stage2_ext_008_obj_0,Op_Host0,Operational,operational,False,0.0,0,0,189,3,7,175,0,0
7,selected,stage2_ext_008_obj_0,Op_Host1,Operational,operational,False,0.0,0,0,301,4,11,285,0,0
7,selected,stage2_ext_008_obj_0,Op_Host2,Operational,operational,False,0.0,0,0,48,2,7,38,0,0
7,selected,stage2_ext_008_obj_0,Op_Server0,Operational,mission_critical,True,0.0,0,0,132,4,7,118,0,0
