seed,candidate_label,policy_id,step_idx,sample_count,blue_action_mode,blue_action_mode_share,blue_target_mode,red_action_mode,red_action_mode_share,red_target_mode,newly_compromised_top_hosts,recovered_top_hosts,mean_newly_compromised_hosts,mean_recovered_hosts,op_server0_compromised_rate,enterprise2_compromised_rate,impact_rate,restore_rate,sleep_rate
19,selected,stage2_ext_009_obj_1,0,160,DecoyVsftpd,0.4688,Enterprise0,DiscoverRemoteSystems,1.0,User,,,0,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_009_obj_1,1,160,DecoyVsftpd,0.4813,Enterprise0,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_009_obj_1,2,160,DecoyVsftpd,0.45,Enterprise0,ExploitRemoteService,1.0,,"User4(43), User2(42), User1(40)",,0.9938,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,3,160,DecoyVsftpd,0.45,Enterprise0,PrivilegeEscalate,0.9938,User4,,User2(2),0,0.0125,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,4,160,DecoyVsftpd,0.4625,Enterprise0,DiscoverNetworkServices,0.9812,,User2(2),,0.0125,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,5,160,DecoyVsftpd,0.4375,Enterprise0,ExploitRemoteService,0.9875,User2,"Enterprise1(80), Enterprise0(27), User4(1)",,0.675,0,0.0,0.0,0.0,0.0312,0.0
19,selected,stage2_ext_009_obj_1,6,160,Restore,0.6687,Enterprise1,PrivilegeEscalate,0.675,Enterprise1,,"Enterprise1(80), Enterprise0(27)",0,0.6687,0.0,0.0,0.0,0.6687,0.0
19,selected,stage2_ext_009_obj_1,7,160,DecoyVsftpd,0.4875,Enterprise0,ExploitRemoteService,0.6813,User4,"Enterprise1(82), Enterprise0(10)",,0.575,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_009_obj_1,8,160,Restore,0.575,Enterprise1,PrivilegeEscalate,0.575,Enterprise1,,"Enterprise1(82), Enterprise0(10)",0,0.575,0.0,0.0,0.0,0.575,0.0
19,selected,stage2_ext_009_obj_1,9,160,DecoyVsftpd,0.4313,Enterprise0,ExploitRemoteService,0.8938,User4,"Enterprise1(82), Enterprise0(15)",,0.6062,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_009_obj_1,10,160,Restore,0.6062,Enterprise1,PrivilegeEscalate,0.6125,Enterprise1,,"Enterprise1(82), Enterprise0(15)",0,0.6062,0.0,0.0,0.0,0.6062,0.0
19,selected,stage2_ext_009_obj_1,11,160,Analyse,0.35,Enterprise0,ExploitRemoteService,0.7125,User4,"Enterprise1(82), Enterprise0(12)",,0.5875,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,12,160,Restore,0.5938,Enterprise1,PrivilegeEscalate,0.5875,Enterprise1,,"Enterprise1(82), Enterprise0(12)",0,0.5875,0.0,0.0,0.0,0.5938,0.0
19,selected,stage2_ext_009_obj_1,13,160,Analyse,0.4125,Enterprise0,ExploitRemoteService,0.875,User4,"Enterprise1(82), Enterprise0(15)",,0.6062,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,14,160,Restore,0.6062,Enterprise1,PrivilegeEscalate,0.6062,Enterprise1,,"Enterprise1(82), Enterprise0(15)",0,0.6062,0.0,0.0,0.0,0.6062,0.0
19,selected,stage2_ext_009_obj_1,15,160,Analyse,0.4313,Enterprise0,ExploitRemoteService,0.7375,User4,"Enterprise1(82), Enterprise0(14)",,0.6,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,16,160,Restore,0.6,Enterprise1,PrivilegeEscalate,0.6062,Enterprise1,,"Enterprise1(82), Enterprise0(14)",0,0.6,0.0,0.0,0.0,0.6,0.0
19,selected,stage2_ext_009_obj_1,17,160,DecoyVsftpd,0.45,Enterprise0,ExploitRemoteService,0.8625,User4,"Enterprise1(82), Enterprise0(18)",User2(1),0.625,0.0063,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,18,160,Restore,0.6438,Enterprise1,PrivilegeEscalate,0.625,Enterprise1,,"Enterprise1(82), Enterprise0(18)",0,0.625,0.0,0.0,0.0,0.6438,0.0
19,selected,stage2_ext_009_obj_1,19,160,DecoyVsftpd,0.4062,Enterprise0,ExploitRemoteService,0.7625,User4,"Enterprise1(82), Enterprise0(16)",,0.6125,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,20,160,Restore,0.6125,Enterprise1,PrivilegeEscalate,0.6125,Enterprise1,,"Enterprise1(82), Enterprise0(16)",0,0.6125,0.0,0.0,0.0,0.6125,0.0
19,selected,stage2_ext_009_obj_1,21,160,DecoyVsftpd,0.4813,Enterprise0,ExploitRemoteService,0.85,User4,"Enterprise1(82), Enterprise0(15)",,0.6062,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,22,160,Restore,0.6062,Enterprise1,PrivilegeEscalate,0.6062,Enterprise1,,"Enterprise1(82), Enterprise0(15)",0,0.6062,0.0,0.0,0.0,0.6062,0.0
19,selected,stage2_ext_009_obj_1,23,160,DecoyVsftpd,0.4562,Enterprise0,ExploitRemoteService,0.7562,User4,"Enterprise1(82), Enterprise0(17)",,0.6188,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,24,160,Restore,0.6188,Enterprise1,PrivilegeEscalate,0.6188,Enterprise1,,"Enterprise1(82), Enterprise0(17)",0,0.6188,0.0,0.0,0.0,0.6188,0.0
19,selected,stage2_ext_009_obj_1,25,160,DecoyVsftpd,0.4688,Enterprise0,ExploitRemoteService,0.8625,User4,"Enterprise1(82), Enterprise0(16)",,0.6125,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,26,160,Restore,0.6188,Enterprise1,PrivilegeEscalate,0.6125,Enterprise1,,"Enterprise1(82), Enterprise0(16)",0,0.6125,0.0,0.0,0.0,0.6188,0.0
19,selected,stage2_ext_009_obj_1,27,160,DecoyVsftpd,0.4437,Enterprise0,ExploitRemoteService,0.75,User4,"Enterprise1(82), Enterprise0(16)",,0.6125,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_009_obj_1,28,160,Restore,0.6125,Enterprise1,PrivilegeEscalate,0.6125,Enterprise1,,"Enterprise1(82), Enterprise0(16)",0,0.6125,0.0,0.0,0.0,0.6125,0.0
19,selected,stage2_ext_009_obj_1,29,160,DecoyVsftpd,0.4188,Enterprise0,ExploitRemoteService,0.8688,User4,"Enterprise1(82), Enterprise0(15)",,0.6062,0,0.0,0.0,0.0,0.0125,0.0
19,selected,stage2_ext_009_obj_1,30,160,Restore,0.6062,Enterprise1,PrivilegeEscalate,0.6062,Enterprise1,,"Enterprise1(82), Enterprise0(15)",0,0.6062,0.0,0.0,0.0,0.6062,0.0
19,selected,stage2_ext_009_obj_1,31,160,DecoyVsftpd,0.425,Enterprise0,ExploitRemoteService,0.7438,User4,"Enterprise1(82), Enterprise0(20)",,0.6375,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_009_obj_1,32,160,Restore,0.6375,Enterprise1,PrivilegeEscalate,0.6375,Enterprise1,,"Enterprise1(82), Enterprise0(20)",0,0.6375,0.0,0.0,0.0,0.6375,0.0
19,selected,stage2_ext_009_obj_1,33,160,DecoyVsftpd,0.4562,Enterprise0,ExploitRemoteService,0.9,User4,"Enterprise1(82), Enterprise0(22)",,0.65,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,34,160,Restore,0.65,Enterprise1,PrivilegeEscalate,0.65,Enterprise1,,"Enterprise1(82), Enterprise0(22)",0,0.65,0.0,0.0,0.0,0.65,0.0
19,selected,stage2_ext_009_obj_1,35,160,Analyse,0.4125,Enterprise0,ExploitRemoteService,0.7562,User4,"Enterprise1(82), Enterprise0(18)",,0.625,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,36,160,Restore,0.6312,Enterprise1,PrivilegeEscalate,0.625,Enterprise1,,"Enterprise1(82), Enterprise0(18)",0,0.625,0.0,0.0,0.0,0.6312,0.0
19,selected,stage2_ext_009_obj_1,37,160,Analyse,0.4,Enterprise0,ExploitRemoteService,0.875,User4,"Enterprise1(82), Enterprise0(19)",,0.6312,0,0.0,0.0,0.0,0.0063,0.0
19,selected,stage2_ext_009_obj_1,38,160,Restore,0.6375,Enterprise1,PrivilegeEscalate,0.6312,Enterprise1,,"Enterprise1(82), Enterprise0(19)",0,0.6312,0.0,0.0,0.0,0.6375,0.0
19,selected,stage2_ext_009_obj_1,39,160,DecoyVsftpd,0.4375,Enterprise0,ExploitRemoteService,0.7625,User4,"Enterprise1(82), Enterprise0(17)",,0.6188,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_009_obj_1,40,160,Restore,0.6188,Enterprise1,PrivilegeEscalate,0.6188,Enterprise1,,"Enterprise1(82), Enterprise0(17)",0,0.6188,0.0,0.0,0.0,0.6188,0.0
19,selected,stage2_ext_009_obj_1,41,160,DecoyVsftpd,0.3875,Enterprise0,ExploitRemoteService,0.8625,User4,"Enterprise1(82), Enterprise0(22)",,0.65,0,0.0,0.0,0.0,0.025,0.0
19,selected,stage2_ext_009_obj_1,42,160,Restore,0.65,Enterprise1,PrivilegeEscalate,0.65,Enterprise1,,"Enterprise1(82), Enterprise0(22)",0,0.65,0.0,0.0,0.0,0.65,0.0
19,selected,stage2_ext_009_obj_1,43,160,DecoyVsftpd,0.4688,Enterprise0,ExploitRemoteService,0.7937,User4,"Enterprise1(82), Enterprise0(19)",,0.6312,0,0.0,0.0,0.0,0.0063,0.0
