seed,candidate_label,policy_id,hostname,subnet,role_group,is_critical,compromised_presence_rate,new_compromise_count,recovered_count,blue_target_count,blue_restore_count,blue_analyse_count,blue_decoy_count,red_target_count,red_impact_count
7,selected,stage2_ext_022_obj_1,User0,User,user,False,1.0,0,0,901,7,138,730,0,0
7,selected,stage2_ext_022_obj_1,User1,User,user,False,0.1936,42,19,668,124,103,411,42,0
7,selected,stage2_ext_022_obj_1,User2,User,user,False,0.0999,53,48,1267,468,0,678,53,0
7,selected,stage2_ext_022_obj_1,User3,User,user,False,0.2216,41,8,1042,49,84,905,127,0
7,selected,stage2_ext_022_obj_1,User4,User,user,False,0.152,29,7,796,35,29,310,47,0
7,selected,stage2_ext_022_obj_1,Defender,Enterprise,defender,False,0.0,0,0,1060,44,92,885,0,0
7,selected,stage2_ext_022_obj_1,Enterprise0,Enterprise,enterprise,False,0.3713,69,9,1646,21,248,1373,109,0
7,selected,stage2_ext_022_obj_1,Enterprise1,Enterprise,enterprise,False,0.1401,115,114,1082,825,0,235,174,0
7,selected,stage2_ext_022_obj_1,Enterprise2,Enterprise,enterprise,False,0.3578,211,194,1567,598,91,815,501,0
7,selected,stage2_ext_022_obj_1,Op_Host0,Operational,operational,False,0.0,0,0,684,9,65,562,0,0
7,selected,stage2_ext_022_obj_1,Op_Host1,Operational,operational,False,0.0,0,0,786,12,34,628,0,0
7,selected,stage2_ext_022_obj_1,Op_Host2,Operational,operational,False,0.0,0,0,816,8,543,258,0,0
7,selected,stage2_ext_022_obj_1,Op_Server0,Operational,mission_critical,True,0.7311,169,14,1176,15,4,1143,11556,11375
