seed,candidate_label,policy_id,step_idx,sample_count,blue_action_mode,blue_action_mode_share,blue_target_mode,red_action_mode,red_action_mode_share,red_target_mode,newly_compromised_top_hosts,recovered_top_hosts,mean_newly_compromised_hosts,mean_recovered_hosts,op_server0_compromised_rate,enterprise2_compromised_rate,impact_rate,restore_rate,sleep_rate
11,selected,stage2_ext_022_obj_1,0,160,DecoyFemitter,0.2,Enterprise2,DiscoverRemoteSystems,1.0,User,,,0,0,0.0,0.0,0.0,0.125,0.0
11,selected,stage2_ext_022_obj_1,1,160,DecoyFemitter,0.1938,Enterprise2,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.1187,0.0
11,selected,stage2_ext_022_obj_1,2,160,DecoyFemitter,0.2125,Enterprise2,ExploitRemoteService,1.0,,"User2(41), User1(40), User3(39)",,0.9875,0,0.0,0.0,0.0,0.1,0.0
11,selected,stage2_ext_022_obj_1,3,160,DecoyFemitter,0.1875,Enterprise2,PrivilegeEscalate,0.9875,User2,,,0,0,0.0,0.0,0.0,0.1313,0.0063
11,selected,stage2_ext_022_obj_1,4,160,DecoyFemitter,0.2062,Enterprise2,DiscoverNetworkServices,0.9875,,,"User3(1), User4(1)",0,0.0125,0.0,0.0,0.0,0.1313,0.0063
11,selected,stage2_ext_022_obj_1,5,160,Restore,0.1625,Enterprise2,ExploitRemoteService,1.0,,"Enterprise1(81), Enterprise0(60), User2(1)",,0.8875,0,0.0,0.0,0.0,0.1625,0.0
11,selected,stage2_ext_022_obj_1,6,160,DecoyFemitter,0.2125,Enterprise2,PrivilegeEscalate,0.8875,Enterprise1,User4(1),"User4(3), Enterprise1(1), Enterprise0(1)",0.0063,0.0312,0.0,0.0,0.0,0.175,0.0
11,selected,stage2_ext_022_obj_1,7,160,DecoyFemitter,0.2,Enterprise2,DiscoverRemoteSystems,0.8688,Enterprise,"Enterprise1(1), Enterprise0(1)",Enterprise0(2),0.0125,0.0125,0.0,0.0,0.0,0.1562,0.0
11,selected,stage2_ext_022_obj_1,8,160,DecoyHarakaSMPT,0.1938,Enterprise2,DiscoverNetworkServices,0.975,Enterprise1,Enterprise1(1),"User4(1), Enterprise0(1)",0.0063,0.0125,0.0,0.0,0.0,0.1062,0.0
11,selected,stage2_ext_022_obj_1,9,160,DecoyFemitter,0.1625,Enterprise2,ExploitRemoteService,0.9812,Enterprise,"Enterprise2(74), Enterprise0(2)",,0.475,0,0.0,0.4625,0.0,0.1,0.0
11,selected,stage2_ext_022_obj_1,10,160,DecoyHarakaSMPT,0.2,Enterprise2,ExploitRemoteService,0.5062,Enterprise2,Enterprise0(2),"Enterprise2(3), Enterprise0(2), User4(1)",0.0125,0.0437,0.0,0.4437,0.0,0.1187,0.0
11,selected,stage2_ext_022_obj_1,11,160,Restore,0.1562,Enterprise2,PrivilegeEscalate,0.4875,Enterprise1,Enterprise2(3),Enterprise2(6),0.0187,0.0375,0.0,0.425,0.0,0.1562,0.0
11,selected,stage2_ext_022_obj_1,12,160,DecoyFemitter,0.1812,Enterprise2,ExploitRemoteService,0.4688,Enterprise,"Op_Server0(33), User2(1), Enterprise2(1)","Enterprise2(4), Enterprise0(1)",0.2188,0.0312,0.2062,0.4062,0.0,0.15,0.0
11,selected,stage2_ext_022_obj_1,13,160,DecoyApache,0.2062,Enterprise2,DiscoverNetworkServices,0.425,Op_Server0,"Enterprise0(4), Enterprise2(4)","Enterprise2(4), Enterprise0(3), Op_Server0(1)",0.05,0.0563,0.2,0.4062,0.0,0.1562,0.0
11,selected,stage2_ext_022_obj_1,14,160,DecoyFemitter,0.1938,Enterprise2,ExploitRemoteService,0.5813,Op_Server0,"Enterprise2(23), Op_Server0(3), Enterprise0(1)","Op_Server0(2), Enterprise0(1), Enterprise1(1)",0.1688,0.025,0.2062,0.55,0.2,0.075,0.0
11,selected,stage2_ext_022_obj_1,15,160,DecoyHarakaSMPT,0.175,Enterprise0,PrivilegeEscalate,0.325,Op_Server0,Enterprise1(3),"Enterprise0(4), User4(1), Op_Server0(1)",0.0187,0.0375,0.2,0.55,0.1875,0.1313,0.0063
11,selected,stage2_ext_022_obj_1,16,160,Restore,0.2062,Enterprise2,PrivilegeEscalate,0.275,Op_Server0,Op_Server0(8),"Enterprise0(5), Enterprise2(3)",0.05,0.05,0.25,0.5312,0.2,0.2062,0.0063
11,selected,stage2_ext_022_obj_1,17,160,DecoyHarakaSMPT,0.1938,Enterprise2,ExploitRemoteService,0.4062,Op_Server0,"Op_Server0(11), Enterprise0(7), Enterprise2(1)","Enterprise2(5), Op_Server0(2), User4(1)",0.1187,0.0563,0.3063,0.5062,0.2,0.1938,0.0
11,selected,stage2_ext_022_obj_1,18,160,DecoyFemitter,0.2,Enterprise2,PrivilegeEscalate,0.2687,Op_Server0,Enterprise2(4),"Enterprise2(4), Op_Server0(2)",0.025,0.0375,0.2938,0.5062,0.2375,0.1,0.0
11,selected,stage2_ext_022_obj_1,19,160,DecoyFemitter,0.1562,Enterprise2,ExploitRemoteService,0.3625,Op_Server0,"Enterprise2(18), Op_Server0(3), Enterprise0(1)","Enterprise2(6), Op_Server0(1), Enterprise0(1)",0.1375,0.05,0.3063,0.5813,0.2938,0.1437,0.0
11,selected,stage2_ext_022_obj_1,20,160,DecoyFemitter,0.2188,Enterprise2,Impact,0.2875,Op_Server0,"Op_Server0(12), Enterprise2(2), Enterprise0(1)","Enterprise2(3), Op_Server0(1), Enterprise0(1)",0.0938,0.0312,0.375,0.575,0.2875,0.1062,0.0063
11,selected,stage2_ext_022_obj_1,21,160,DecoyFemitter,0.2375,Enterprise2,Impact,0.3,Op_Server0,"Enterprise2(5), Op_Server0(4), Enterprise0(2)","Enterprise2(3), Enterprise1(1)",0.0688,0.025,0.4,0.5875,0.3,0.1,0.0
