seed,candidate_label,policy_id,hostname,subnet,role_group,is_critical,compromised_presence_rate,new_compromise_count,recovered_count,blue_target_count,blue_restore_count,blue_analyse_count,blue_decoy_count,red_target_count,red_impact_count
11,selected,stage2_ext_016_obj_0,User0,User,user,False,1.0,0,0,1002,12,3,958,0,0
11,selected,stage2_ext_016_obj_0,User1,User,user,False,0.1844,37,14,767,77,45,435,37,0
11,selected,stage2_ext_016_obj_0,User2,User,user,False,0.2496,44,6,965,35,6,887,44,0
11,selected,stage2_ext_016_obj_0,User3,User,user,False,0.2671,44,1,532,2,22,293,51,0
11,selected,stage2_ext_016_obj_0,User4,User,user,False,0.1706,35,14,1316,60,2,1224,37,0
11,selected,stage2_ext_016_obj_0,Defender,Enterprise,defender,False,0.0,0,0,704,21,79,373,0,0
11,selected,stage2_ext_016_obj_0,Enterprise0,Enterprise,enterprise,False,0.1136,82,81,1325,747,7,564,82,0
11,selected,stage2_ext_016_obj_0,Enterprise1,Enterprise,enterprise,False,0.3702,85,38,1306,134,5,985,86,0
11,selected,stage2_ext_016_obj_0,Enterprise2,Enterprise,enterprise,False,0.3882,434,382,2302,1036,287,962,768,0
11,selected,stage2_ext_016_obj_0,Op_Host0,Operational,operational,False,0.0,0,0,922,65,348,265,0,0
11,selected,stage2_ext_016_obj_0,Op_Host1,Operational,operational,False,0.0,0,0,680,6,16,516,0,0
11,selected,stage2_ext_016_obj_0,Op_Host2,Operational,operational,False,0.0,0,0,1209,33,249,604,0,0
11,selected,stage2_ext_016_obj_0,Op_Server0,Operational,mission_critical,True,0.6734,578,451,2451,672,121,1601,11058,10074
