seed,candidate_label,policy_id,step_idx,sample_count,blue_action_mode,blue_action_mode_share,blue_target_mode,red_action_mode,red_action_mode_share,red_target_mode,newly_compromised_top_hosts,recovered_top_hosts,mean_newly_compromised_hosts,mean_recovered_hosts,op_server0_compromised_rate,enterprise2_compromised_rate,impact_rate,restore_rate,sleep_rate
11,selected,stage2_ext_016_obj_0,0,160,Restore,0.1875,Op_Server0,DiscoverRemoteSystems,1.0,User,,,0,0,0.0,0.0,0.0,0.1875,0.0
11,selected,stage2_ext_016_obj_0,1,160,DecoySmss,0.1812,Op_Server0,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.1688,0.0
11,selected,stage2_ext_016_obj_0,2,160,DecoySmss,0.1875,Op_Server0,ExploitRemoteService,1.0,,"User3(43), User2(40), User1(37)",,0.9563,0,0.0,0.0,0.0,0.15,0.0
11,selected,stage2_ext_016_obj_0,3,160,DecoyVsftpd,0.175,Enterprise2,PrivilegeEscalate,0.9563,User3,,,0,0,0.0,0.0,0.0,0.175,0.0063
11,selected,stage2_ext_016_obj_0,4,160,Restore,0.1562,Op_Server0,DiscoverNetworkServices,0.9563,,User4(1),User4(1),0.0063,0.0063,0.0,0.0,0.0,0.1562,0.0063
11,selected,stage2_ext_016_obj_0,5,160,Restore,0.2062,Enterprise2,ExploitRemoteService,0.9938,User4,"Enterprise1(77), Enterprise0(74), User3(1)",User4(1),0.9563,0.0063,0.0,0.0,0.0,0.2062,0.0
11,selected,stage2_ext_016_obj_0,6,160,DecoySmss,0.175,Enterprise2,PrivilegeEscalate,0.9563,Enterprise1,,"Enterprise0(3), Enterprise1(2)",0,0.0312,0.0,0.0,0.0,0.1625,0.0063
11,selected,stage2_ext_016_obj_0,7,160,Restore,0.2062,Op_Server0,DiscoverRemoteSystems,0.9125,Enterprise,"Enterprise0(4), Enterprise1(2)","Enterprise0(4), User1(2)",0.0375,0.0375,0.0,0.0,0.0,0.2062,0.0
11,selected,stage2_ext_016_obj_0,8,160,Restore,0.1625,Op_Server0,DiscoverNetworkServices,0.925,Enterprise0,"Enterprise0(1), Enterprise1(1)",Enterprise0(4),0.0125,0.025,0.0,0.0,0.0,0.1625,0.0
11,selected,stage2_ext_016_obj_0,9,160,Restore,0.1625,Enterprise2,ExploitRemoteService,0.95,Enterprise,"Enterprise2(145), User4(1), User2(1)",,0.9187,0,0.0,0.9062,0.0,0.1625,0.0
