panel_key,panel_title,metric_key,metric_label,metric_source,left_method_name,left_display_name,left_mean,left_std,right_method_name,right_display_name,right_mean,right_std,delta_right_minus_left
stage2_vs_stage1,A. Stage-1 vs. Constraint-Aware,hypervolume,HV ($\times 10^6$),table_a,stage1_only_4obj,Stage-1 Policy Archive,22171509.666666668,3830147.95439918,ours_stage2_v2_4,Constraint-Aware Stage-2,22909782.833333332,4246646.4943242045,738273.1666666642
stage2_vs_stage1,A. Stage-1 vs. Constraint-Aware,expected_utility,EU,table_a,stage1_only_4obj,Stage-1 Policy Archive,-44.88013821020548,1.67806282257941,ours_stage2_v2_4,Constraint-Aware Stage-2,-41.91929185668349,4.143804440007724,2.960846353521987
stage2_vs_stage1,A. Stage-1 vs. Constraint-Aware,feasible_rate,Feasible,deployment,stage1_only_4obj,Stage-1 Policy Archive,0.30833332737286884,0.23658448794749315,ours_stage2_v2_4,Constraint-Aware Stage-2,0.641666678711772,0.4365267035959272,0.3333333513389031
stage2_vs_stage1,A. Stage-1 vs. Constraint-Aware,mean_violation,Violation,deployment,stage1_only_4obj,Stage-1 Policy Archive,1.9769689043362935,1.4039110996901378,ours_stage2_v2_4,Constraint-Aware Stage-2,0.09419935543943818,0.12986323774260417,-1.8827695488968552
constraint_aware_vs_unconstrained,B. Unconstrained vs. Constraint-Aware,feasible_rate,Feasible,deployment,no_constraint_stage2_4obj,Unconstrained Stage-2,0.4583333233992259,0.07728015005848647,ours_stage2_v2_4,Constraint-Aware Stage-2,0.641666678711772,0.4365267035959272,0.18333335531254608
constraint_aware_vs_unconstrained,B. Unconstrained vs. Constraint-Aware,mean_violation,Violation,deployment,no_constraint_stage2_4obj,Unconstrained Stage-2,2.12740949789683,0.33963222177839986,ours_stage2_v2_4,Constraint-Aware Stage-2,0.09419935543943818,0.12986323774260417,-2.033210142457392
constraint_aware_vs_unconstrained,B. Unconstrained vs. Constraint-Aware,Q4_user_focus_after_enterprise_foothold,Q4 Drift,semantic,no_constraint_stage2_4obj,Unconstrained Stage-2,0.3375000000000001,,ours_stage2_v2_4,Constraint-Aware Stage-2,0.0020833333333333333,,-0.33541666666666675
constraint_aware_vs_unconstrained,B. Unconstrained vs. Constraint-Aware,Q5_repeated_low_value_decoy_loop,Q5 Decoy Loop,semantic,no_constraint_stage2_4obj,Unconstrained Stage-2,0.2541666666666667,,ours_stage2_v2_4,Constraint-Aware Stage-2,0.0,,-0.2541666666666667
objective_3obj_vs_4obj,C. 3obj vs. 4obj,projected_hypervolume_3d,Proj. 3D HV,projected_table_a,ours_stage2,3-Objective Stage-2,2837229.4322916665,218011.6235987808,ours_stage2_v2_4,4-Objective Stage-2,5589724.333333333,673165.5581541999,2752494.9010416665
objective_3obj_vs_4obj,C. 3obj vs. 4obj,projected_expected_utility_3d,Proj. 3D EU,projected_table_a,ours_stage2,3-Objective Stage-2,-175.40171838690515,2.8877838320045446,ours_stage2_v2_4,4-Objective Stage-2,-55.91818436709317,5.547475484903607,119.48353401981197
objective_3obj_vs_4obj,C. 3obj vs. 4obj,feasible_rate,Feasible,matched_deployment,ours_stage2,3-Objective Stage-2,0.0,0.0,ours_stage2_v2_4,4-Objective Stage-2,0.641666678711772,0.4365267035959272,0.641666678711772
objective_3obj_vs_4obj,C. 3obj vs. 4obj,mean_violation,Violation,matched_deployment,ours_stage2,3-Objective Stage-2,86.21523030598958,1.2337374653743651,ours_stage2_v2_4,4-Objective Stage-2,0.09419935543943818,0.12986323774260417,-86.12103095055014
objective_3obj_vs_4obj,C. 3obj vs. 4obj,ever_critical_breach_rate,Any Critical Breach,semantic,ours_stage2,3-Objective Stage-2,0.9874999999999999,,ours_stage2_v2_4,4-Objective Stage-2,0.0,,-0.9874999999999999
objective_3obj_vs_4obj,C. 3obj vs. 4obj,persistent_critical_breach_rate,Sustained Critical Breach,semantic,ours_stage2,3-Objective Stage-2,0.6458333333333334,,ours_stage2_v2_4,4-Objective Stage-2,0.0,,-0.6458333333333334
objective_3obj_vs_4obj,C. 3obj vs. 4obj,Q4_user_focus_after_enterprise_foothold,Q4 Drift,semantic,ours_stage2,3-Objective Stage-2,0.6750000000000002,,ours_stage2_v2_4,4-Objective Stage-2,0.0020833333333333333,,-0.6729166666666668
objective_3obj_vs_4obj,C. 3obj vs. 4obj,Q5_repeated_low_value_decoy_loop,Q5 Decoy Loop,semantic,ours_stage2,3-Objective Stage-2,0.4708333333333334,,ours_stage2_v2_4,4-Objective Stage-2,0.0,,-0.4708333333333334
