seed,method_name,display_group,threshold_profile,threshold_quantile,d_business,d_cost,num_preferences,unique_selected_policies,feasible_assignment_rate,mean_violation,business_violation,cost_violation,mean_utility,candidate_count,raw_pareto_size,table_b_replay_critical_impact_count,table_b_replay_final_critical_compromised_hosts,table_b_replay_ever_critical_breach_rate,table_b_replay_persistent_critical_breach_rate
7,ours_stage2_v2_4,Ours Stage2 V2.4,looser,0.1,-28.248770904541015,-25.80816764831543,286,5,0.15734265734265734,2.545668397916774,0.0,2.545668397916774,-46.78479151459007,38,7,0.0,0.0,0.0,0.0
7,ours_stage2_v2_4,Ours Stage2 V2.4,default,0.25,-27.781768798828125,-24.6200008392334,286,5,0.038461538461538464,3.5660363444081553,0.01763676596688224,3.548399578441273,-46.78479151459007,38,7,0.0,0.0,0.0,0.0
7,ours_stage2_v2_4,Ours Stage2 V2.4,stricter,0.5,-26.534896850585938,-23.14166831970215,286,5,0.0,5.008555312256713,0.1628487193501079,4.845706592906605,-46.78479151459007,38,7,0.0,0.0,0.0,0.0
7,stage1_only_4obj,Stage1 Only 4obj,looser,0.1,-28.248770904541015,-25.80816764831543,286,3,0.14685314685314685,2.5773572161481026,0.0,2.5773572161481026,-46.80887161101494,18,4,0.0,0.0,0.0,0.0
7,stage1_only_4obj,Stage1 Only 4obj,default,0.25,-27.781768798828125,-24.6200008392334,286,3,0.0,3.6428761315512492,0.05032444667149257,3.5925516848797563,-46.80887161101494,18,4,0.0,0.0,0.0,0.0
7,stage1_only_4obj,Stage1 Only 4obj,stricter,0.5,-26.534896850585938,-23.14166831970215,286,3,0.0,5.088027240513088,0.2290718238670509,4.858955416646037,-46.80887161101494,18,4,0.0,0.0,0.0,0.0
7,weighted_sum_4obj,Weighted-Sum 4obj,looser,0.1,-28.248770904541015,-25.80816764831543,286,4,0.0,84.96652479905319,84.88468795989732,0.08183683915571797,-136.9438199511358,30,19,6.05,0.625,1.0,0.625
7,weighted_sum_4obj,Weighted-Sum 4obj,default,0.25,-27.781768798828125,-24.6200008392334,286,4,0.0,86.52198740819118,85.35169006561065,1.1702973425805152,-136.9438199511358,30,19,6.05,0.625,1.0,0.625
7,weighted_sum_4obj,Weighted-Sum 4obj,stricter,0.5,-26.534896850585938,-23.14166831970215,286,4,0.0,89.12313600019975,86.59856201385284,2.524573986346905,-136.9438199511358,30,19,6.05,0.625,1.0,0.625
7,lagrangian_ppo_4obj,Lagrangian PPO,looser,0.1,-28.248770904541015,-25.80816764831543,286,1,0.0,81.66185073852496,81.66185073852496,0.0,-157.93288279996887,1,1,4.35,0.775,1.0,0.775
7,lagrangian_ppo_4obj,Lagrangian PPO,default,0.25,-27.781768798828125,-24.6200008392334,286,1,0.0,83.0988540649414,82.12885284423828,0.970001220703125,-157.93288279996887,1,1,4.35,0.775,1.0,0.775
7,lagrangian_ppo_4obj,Lagrangian PPO,stricter,0.5,-26.534896850585938,-23.14166831970215,286,1,0.0,85.82405853271484,83.37572479248047,2.448333740234375,-157.93288279996887,1,1,4.35,0.775,1.0,0.775
7,no_constraint_stage2_4obj,Unconstrained Stage-2,looser,0.1,-28.248770904541015,-25.80816764831543,286,4,0.23776223776223776,2.302720791476587,0.0,2.302720791476587,-46.352639364612685,46,6,0.0,0.0,0.0,0.0
7,no_constraint_stage2_4obj,Unconstrained Stage-2,default,0.25,-27.781768798828125,-24.6200008392334,286,4,0.23776223776223776,3.2083864011964596,0.0,3.2083864011964596,-46.352639364612685,46,6,0.0,0.0,0.0,0.0
7,no_constraint_stage2_4obj,Unconstrained Stage-2,stricter,0.5,-26.534896850585938,-23.14166831970215,286,4,0.1258741258741259,4.466392463737434,0.13116519101016172,4.3352272727272725,-46.352639364612685,46,6,0.0,0.0,0.0,0.0
11,ours_stage2_v2_4,Ours Stage2 V2.4,looser,0.1,-28.248770904541015,-25.80816764831543,286,2,1.0,0.0,0.0,0.0,-36.65778653021459,33,4,0.0,0.0,0.0,0.0
11,ours_stage2_v2_4,Ours Stage2 V2.4,default,0.25,-27.781768798828125,-24.6200008392334,286,2,1.0,0.0,0.0,0.0,-36.65778653021459,33,4,0.0,0.0,0.0,0.0
11,ours_stage2_v2_4,Ours Stage2 V2.4,stricter,0.5,-26.534896850585938,-23.14166831970215,286,2,0.9615384615384616,0.04769626030555138,0.04769626030555138,0.0,-36.65778653021459,33,4,0.0,0.0,0.0,0.0
11,stage1_only_4obj,Stage1 Only 4obj,looser,0.1,-28.248770904541015,-25.80816764831543,286,2,1.0,0.0,0.0,0.0,-42.71834391022062,18,3,0.0,0.0,0.0,0.0
