threshold_profile,threshold_quantile,d_business,d_cost,method_name,display_group,num_seeds,feasible_assignment_rate,feasible_assignment_rate_std,mean_violation,mean_violation_std,mean_utility,mean_utility_std,table_b_replay_critical_impact_count,table_b_replay_critical_impact_count_std,table_b_replay_final_critical_compromised_hosts,table_b_replay_final_critical_compromised_hosts_std,table_b_replay_ever_critical_breach_rate,table_b_replay_ever_critical_breach_rate_std,table_b_replay_persistent_critical_breach_rate,table_b_replay_persistent_critical_breach_rate_std
looser,0.1,-28.248770904541015,-25.80816764831543,ours_stage2_v2_4,Ours Stage2 V2.4,3,0.7191142191142191,0.39723248080642876,0.8485561326389246,1.20003959121283,-41.91929185668349,4.143804440007724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looser,0.1,-28.248770904541015,-25.80816764831543,stage1_only_4obj,Stage1 Only 4obj,3,0.7156177156177156,0.402177283472069,0.8591190720493675,1.2149778433856038,-44.88013821020548,1.67806282257941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looser,0.1,-28.248770904541015,-25.80816764831543,weighted_sum_4obj,Weighted-Sum 4obj,3,0.0,0.0,101.24238501061883,12.337437995335165,-161.56662434714656,17.552692772777863,3.9916666666666667,2.1647106555431885,0.8250000000000001,0.14719601443879743,0.9916666666666667,0.011785113019775802,0.8250000000000001,0.14719601443879743
looser,0.1,-28.248770904541015,-25.80816764831543,lagrangian_ppo_4obj,Lagrangian PPO,3,0.0,0.0,95.03431777954056,10.746831286555919,-277.5799080156363,84.70527284105404,2.158333333333333,1.550582327887028,0.8833333333333333,0.08249579113843053,0.975,0.02041241452319317,0.8833333333333333,0.08249579113843053
looser,0.1,-28.248770904541015,-25.80816764831543,no_constraint_stage2_4obj,Unconstrained Stage-2,3,0.7459207459207459,0.3593223270365207,0.7675735971588623,1.0855129912215657,-41.96889828037827,4.064831875256898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,0.25,-27.781768798828125,-24.6200008392334,ours_stage2_v2_4,Ours Stage2 V2.4,3,0.6794871794871794,0.4532735776836843,1.188678781469385,1.6810456540591288,-41.91929185668349,4.143804440007724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,0.25,-27.781768798828125,-24.6200008392334,stage1_only_4obj,Stage1 Only 4obj,3,0.6666666666666666,0.4714045207910317,1.2142920438504163,1.7172682770950038,-44.88013821020548,1.67806282257941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,0.25,-27.781768798828125,-24.6200008392334,weighted_sum_4obj,Weighted-Sum 4obj,3,0.0,0.0,102.08588248477395,11.875485837274066,-161.56662434714656,17.552692772777863,3.9916666666666667,2.1647106555431885,0.8250000000000001,0.14719601443879743,0.9916666666666667,0.011785113019775802,0.8250000000000001,0.14719601443879743
default,0.25,-27.781768798828125,-24.6200008392334,lagrangian_ppo_4obj,Lagrangian PPO,3,0.0,0.0,95.82465362548828,10.34678368130796,-277.5799080156363,84.70527284105404,2.158333333333333,1.550582327887028,0.8833333333333333,0.08249579113843053,0.975,0.02041241452319317,0.8833333333333333,0.08249579113843053
default,0.25,-27.781768798828125,-24.6200008392334,no_constraint_stage2_4obj,Unconstrained Stage-2,3,0.7459207459207459,0.3593223270365207,1.0694621337321533,1.5124478539684798,-41.96889828037827,4.064831875256898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stricter,0.5,-26.534896850585938,-23.14166831970215,ours_stage2_v2_4,Ours Stage2 V2.4,3,0.6421911421911423,0.4540999550141269,1.6998706030678916,2.3395940643468105,-41.91929185668349,4.143804440007724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stricter,0.5,-26.534896850585938,-23.14166831970215,stage1_only_4obj,Stage1 Only 4obj,3,0.3041958041958042,0.43019783191069677,2.2166028389563928,2.1033097404377847,-44.88013821020548,1.67806282257941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stricter,0.5,-26.534896850585938,-23.14166831970215,weighted_sum_4obj,Weighted-Sum 4obj,3,0.0,0.0,104.27280849287837,11.735434792753932,-161.56662434714656,17.552692772777863,3.9916666666666667,2.1647106555431885,0.8250000000000001,0.14719601443879743,0.9916666666666667,0.011785113019775802,0.8250000000000001,0.14719601443879743
stricter,0.5,-26.534896850585938,-23.14166831970215,lagrangian_ppo_4obj,Lagrangian PPO,3,0.0,0.0,97.62541389465332,9.744744786255911,-277.5799080156363,84.70527284105404,2.158333333333333,1.550582327887028,0.8833333333333333,0.08249579113843053,0.975,0.02041241452319317,0.8833333333333333,0.08249579113843053
stricter,0.5,-26.534896850585938,-23.14166831970215,no_constraint_stage2_4obj,Unconstrained Stage-2,3,0.6923076923076922,0.40102725608561746,1.5090322650118029,2.0913162940621013,-41.96889828037827,4.064831875256898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
