method_name,display_name,seed,event_key,event_name,metric_field,metric_kind,semantic_eval_episodes,observed_value,observed_count,observed_rate,bound_applicable,clopper_pearson_upper,hoeffding_upper,metrics_path
ours_stage2_v2_4,Constraint-Aware Stage-2,7,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0007/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,7,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0007/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,7,critical_impact,Any Critical Impact,critical_impact_count,count_mean,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0007/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,7,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0007/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,11,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0011/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,11,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0011/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,11,critical_impact,Any Critical Impact,critical_impact_count,count_mean,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0011/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,11,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0011/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,19,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0019/constraint_metrics.json
ours_stage2_v2_4,Constraint-Aware Stage-2,19,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,40,0.0,0,0.0,True,0.0721575245055146,0.19351137801024748,/home/waylandlee/CMORL2/Cyber-CMORL/cmorl_cyborg/outputs/paper_4obj/table_b/ours_stage2_v2_4/seed_0019/constraint_metrics.json
