method_name,display_name,event_key,event_name,metric_field,metric_kind,num_seeds,total_episodes,observed_count,observed_rate,bound_applicable,clopper_pearson_upper,hoeffding_upper
ours_stage2_v2_4,Constraint-Aware Stage-2,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
ours_stage2_v2_4,Constraint-Aware Stage-2,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
ours_stage2_v2_4,Constraint-Aware Stage-2,critical_impact,Any Critical Impact,critical_impact_count,count_mean,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
ours_stage2_v2_4,Constraint-Aware Stage-2,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
stage1_only_4obj,Stage-1 Archive,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
stage1_only_4obj,Stage-1 Archive,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
stage1_only_4obj,Stage-1 Archive,critical_impact,Any Critical Impact,critical_impact_count,count_mean,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
stage1_only_4obj,Stage-1 Archive,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
weighted_sum_4obj,Weighted-Sum,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,3,120,119,0.9916666666666667,False,,
weighted_sum_4obj,Weighted-Sum,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,3,120,99,0.825,False,,
weighted_sum_4obj,Weighted-Sum,critical_impact,Any Critical Impact,critical_impact_count,count_mean,3,120,479,3.9916666666666667,False,,
weighted_sum_4obj,Weighted-Sum,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,3,120,99,0.825,False,,
lagrangian_ppo_4obj,Lagrangian PPO,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,3,120,117,0.975,False,,
lagrangian_ppo_4obj,Lagrangian PPO,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,3,120,106,0.8833333333333333,False,,
lagrangian_ppo_4obj,Lagrangian PPO,critical_impact,Any Critical Impact,critical_impact_count,count_mean,3,120,259,2.158333333333333,False,,
lagrangian_ppo_4obj,Lagrangian PPO,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,3,120,106,0.8833333333333333,False,,
no_constraint_stage2_4obj,Unconstrained Stage-2,ever_critical_breach,Ever Critical Breach,ever_critical_breach_rate,rate,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
no_constraint_stage2_4obj,Unconstrained Stage-2,persistent_critical_breach,Persistent Critical Breach,persistent_critical_breach_rate,rate,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
no_constraint_stage2_4obj,Unconstrained Stage-2,critical_impact,Any Critical Impact,critical_impact_count,count_mean,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
no_constraint_stage2_4obj,Unconstrained Stage-2,final_critical_compromised_host,Any Final Critical Host Compromised,final_critical_compromised_hosts,count_mean,3,120,0,0.0,True,0.024655401055656334,0.1117238461854718
