method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,0,11,100,-460.69999757409096,-123.44500060379505,-28.990000396966934,,False,True,False,5,12,True,True,65,57,5,7,2,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,1,1011,100,-340.39999997615814,-102.05750042200089,-29.68000042438507,,False,True,False,5,16,True,False,56,53,4,7,2,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,2,2011,100,-317.3499990105629,-87.26750045269728,-29.880000427365303,,False,True,False,5,29,True,False,38,35,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,3,3011,100,-475.89999690651894,-128.19250021502376,-27.84000039100647,,True,True,False,5,14,True,True,57,48,5,7,2,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,4,4011,100,-654.5499981641769,-119.66500067710876,-27.3700003772974,,False,True,False,5,12,True,False,67,62,4,7,2,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,5,5011,100,-356.0999987125397,-101.79999996721745,-28.280000373721123,,False,True,False,5,18,True,False,48,42,4,6,1,2,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,6,6011,100,-371.39999943971634,-106.79250037297606,-28.060000389814377,,False,True,False,5,16,True,True,62,58,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_000,7,7011,100,-405.699999243021,-116.20750071853399,-28.18000039458275,,False,True,False,5,14,True,False,64,58,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,0,12,100,-397.9499980509281,-102.7399999126792,-29.060000389814377,,False,True,False,5,12,True,False,44,37,5,7,2,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,1,1012,100,-606.5999985337257,-119.83250111341476,-27.640000388026237,,False,True,False,5,12,True,True,62,55,4,9,4,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,2,2012,100,-520.5000022351742,-90.1800000667572,-26.87000036239624,,False,True,False,5,12,True,False,44,39,4,12,7,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,3,3012,100,-432.2999976873398,-90.32500042021275,-28.790000408887863,,False,True,False,5,14,True,True,32,26,4,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,4,4012,100,-444.8999986946583,-122.37500092759728,-29.47000040113926,,False,True,False,5,12,True,True,70,66,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,5,5012,100,-552.1500004827976,-124.15750118345022,-26.900000363588333,,False,True,False,5,12,True,False,69,65,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,6,6012,100,-331.9999993145466,-95.17000054195523,-27.33000038564205,,False,True,False,5,12,True,False,51,48,4,11,6,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_001,7,7012,100,-405.3999999165535,-118.16500045731664,-27.860000386834145,,False,True,False,5,12,True,True,64,56,4,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,0,13,100,-357.3499989807606,-106.80500038340688,-26.720000371336937,,False,True,False,5,12,True,True,65,60,4,7,2,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,1,1013,100,-374.99999979138374,-91.44500008225441,-29.01000039279461,,False,True,False,5,12,True,False,40,35,4,7,2,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,2,2013,100,-440.19999864697456,-111.52000028640032,-27.390000373125076,,False,True,False,5,12,True,True,51,43,4,6,1,4,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,3,3013,100,-453.7499988377094,-128.93500084802508,-27.300000369548798,,True,True,False,5,16,True,True,84,82,4,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,4,4013,100,-381.0499964952469,-102.75499990582466,-29.76000042259693,,False,True,False,5,20,True,True,43,36,5,6,1,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,5,5013,100,-417.0999962389469,-112.61000084131956,-25.32000033557415,,False,True,False,5,26,True,False,59,56,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,6,6013,100,-332.49999818205833,-99.39000030979514,-27.93000039458275,,False,True,False,5,12,True,True,47,41,5,9,4,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_002,7,7013,100,-336.34999972581863,-93.59750024974346,-26.770000353455544,,False,True,False,5,12,True,False,44,42,5,6,1,1,0,0.0,0,0.0,0.0,False,Tier 2 Transient Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_003,0,14,100,-805.050002604723,-115.16500076279044,-27.2000003606081,,False,True,False,5,12,True,True,71,66,5,13,8,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_003,1,1014,100,-407.44999808073044,-114.42500061541796,-27.42000037431717,,False,True,False,5,12,True,True,60,53,4,7,2,2,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
ours_stage2,11,stage2_ext_002_obj_0,selected,episode_003,2,2014,100,-310.499998152256,-84.80750057846308,-29.830000415444374,,False,True,False,5,32,True,True,32,28,4,6,1,1,0,0.0,0,0.0,0.0,False,Tier 3 Persistent Critical Breach
