seed,candidate_label,policy_id,step_idx,sample_count,blue_action_mode,blue_action_mode_share,blue_target_mode,red_action_mode,red_action_mode_share,red_target_mode,newly_compromised_top_hosts,recovered_top_hosts,mean_newly_compromised_hosts,mean_recovered_hosts,op_server0_compromised_rate,enterprise2_compromised_rate,impact_rate,restore_rate,sleep_rate
7,selected,stage1_pref_000_ckpt_191,0,160,Restore,0.5188,Enterprise2,DiscoverRemoteSystems,1.0,User,,,0,0,0.0,0.0,0.0,0.5188,0.0
7,selected,stage1_pref_000_ckpt_191,1,160,Restore,0.5312,Enterprise2,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.5312,0.0
7,selected,stage1_pref_000_ckpt_191,2,160,Restore,0.5125,Enterprise2,ExploitRemoteService,1.0,,"User2(46), User3(44), User1(41)",,1,0,0.0,0.0,0.0,0.5125,0.0
7,selected,stage1_pref_000_ckpt_191,3,160,Restore,0.475,Enterprise2,PrivilegeEscalate,1.0,User2,,,0,0,0.0,0.0,0.0,0.475,0.0
7,selected,stage1_pref_000_ckpt_191,4,160,Restore,0.5125,Enterprise2,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.5125,0.0063
7,selected,stage1_pref_000_ckpt_191,5,160,Restore,0.6188,Enterprise2,ExploitRemoteService,1.0,,"Enterprise1(87), Enterprise0(73)",,1,0,0.0,0.0,0.0,0.6188,0.0
7,selected,stage1_pref_000_ckpt_191,6,160,Restore,0.5375,Enterprise2,PrivilegeEscalate,1.0,Enterprise1,,"Enterprise1(11), Enterprise0(1)",0,0.075,0.0,0.0,0.0,0.5375,0.0
7,selected,stage1_pref_000_ckpt_191,7,160,Restore,0.45,Enterprise2,DiscoverRemoteSystems,0.925,Enterprise,"Enterprise1(11), Enterprise0(1)",Enterprise1(2),0.075,0.0125,0.0,0.0,0.0,0.45,0.0
7,selected,stage1_pref_000_ckpt_191,8,160,Restore,0.5188,Enterprise2,DiscoverNetworkServices,0.925,Enterprise1,,"Enterprise1(8), Enterprise0(1)",0,0.0563,0.0,0.0,0.0,0.5188,0.0
7,selected,stage1_pref_000_ckpt_191,9,160,Restore,0.5,Enterprise2,ExploitRemoteService,0.9375,Enterprise,"Enterprise2(146), Enterprise1(2)",Enterprise1(2),0.925,0.0125,0.0,0.9125,0.0,0.5,0.0
7,selected,stage1_pref_000_ckpt_191,10,160,Restore,0.4875,Enterprise2,PrivilegeEscalate,0.925,Enterprise2,,"Enterprise2(36), Enterprise1(3), Enterprise0(2)",0,0.2562,0.0,0.6875,0.0,0.4875,0.0
7,selected,stage1_pref_000_ckpt_191,11,160,Restore,0.5125,Enterprise2,DiscoverNetworkServices,0.6875,Enterprise,Enterprise2(46),"Enterprise2(26), Enterprise1(5)",0.2875,0.1938,0.0,0.8125,0.0,0.5125,0.0
7,selected,stage1_pref_000_ckpt_191,12,160,Restore,0.5375,Enterprise2,ExploitRemoteService,0.6687,Enterprise2,Op_Server0(93),"Enterprise2(43), Enterprise1(5)",0.5813,0.3,0.5813,0.5437,0.0,0.5375,0.0
7,selected,stage1_pref_000_ckpt_191,13,160,Restore,0.5312,Enterprise2,PrivilegeEscalate,0.5813,Op_Server0,Enterprise2(27),"Enterprise2(27), Op_Server0(14), Enterprise1(8)",0.1688,0.3063,0.4938,0.5437,0.0,0.5312,0.0
7,selected,stage1_pref_000_ckpt_191,14,160,Restore,0.5563,Enterprise2,Impact,0.4938,Op_Server0,"Op_Server0(41), Enterprise2(2), Enterprise1(1)","Enterprise2(26), Op_Server0(14), Enterprise1(4)",0.275,0.275,0.6625,0.3937,0.4938,0.5563,0.0
7,selected,stage1_pref_000_ckpt_191,15,160,Restore,0.55,Enterprise2,Impact,0.4062,Op_Server0,Enterprise2(14),"Op_Server0(19), Enterprise2(19), Enterprise0(4)",0.0875,0.2875,0.5437,0.3625,0.4062,0.55,0.0
7,selected,stage1_pref_000_ckpt_191,16,160,Restore,0.4688,Enterprise2,Impact,0.5437,Op_Server0,"Op_Server0(26), Enterprise1(3)","Enterprise2(20), Op_Server0(13), Enterprise1(5)",0.1812,0.2375,0.625,0.2375,0.5437,0.4688,0.0
7,selected,stage1_pref_000_ckpt_191,17,160,Restore,0.55,Enterprise2,Impact,0.4625,Op_Server0,"Enterprise2(15), Op_Server0(11)","Op_Server0(17), Enterprise2(11)",0.1625,0.175,0.5875,0.2625,0.4625,0.55,0.0
