seed,candidate_label,policy_id,hostname,subnet,role_group,is_critical,compromised_presence_rate,new_compromise_count,recovered_count,blue_target_count,blue_restore_count,blue_analyse_count,blue_decoy_count,red_target_count,red_impact_count
11,selected,stage2_ext_002_obj_0,User0,User,user,False,1.0,0,0,437,16,218,138,0,0
11,selected,stage2_ext_002_obj_0,User1,User,user,False,0.2167,38,6,211,29,9,172,39,0
11,selected,stage2_ext_002_obj_0,User2,User,user,False,0.2196,38,4,1610,23,108,1078,51,0
11,selected,stage2_ext_002_obj_0,User3,User,user,False,0.3063,50,0,476,2,5,435,51,0
11,selected,stage2_ext_002_obj_0,User4,User,user,False,0.1959,34,4,651,27,14,406,41,0
11,selected,stage2_ext_002_obj_0,Defender,Enterprise,defender,False,0.0,0,0,269,37,34,197,0,0
11,selected,stage2_ext_002_obj_0,Enterprise0,Enterprise,enterprise,False,0.1166,88,87,1555,670,3,836,88,0
11,selected,stage2_ext_002_obj_0,Enterprise1,Enterprise,enterprise,False,0.1606,84,80,927,499,33,375,84,0
11,selected,stage2_ext_002_obj_0,Enterprise2,Enterprise,enterprise,False,0.3025,1138,1072,4095,3657,136,203,1206,0
11,selected,stage2_ext_002_obj_0,Op_Host0,Operational,operational,False,0.0,0,0,2680,175,5,2493,0,0
11,selected,stage2_ext_002_obj_0,Op_Host1,Operational,operational,False,0.0,0,0,379,117,27,234,0,0
11,selected,stage2_ext_002_obj_0,Op_Host2,Operational,operational,False,0.0,0,0,588,95,13,446,0,0
11,selected,stage2_ext_002_obj_0,Op_Server0,Operational,mission_critical,True,0.5693,760,663,2012,1178,61,756,9605,8259
