seed,candidate_label,policy_id,step_idx,sample_count,blue_action_mode,blue_action_mode_share,blue_target_mode,red_action_mode,red_action_mode_share,red_target_mode,newly_compromised_top_hosts,recovered_top_hosts,mean_newly_compromised_hosts,mean_recovered_hosts,op_server0_compromised_rate,enterprise2_compromised_rate,impact_rate,restore_rate,sleep_rate
19,selected,stage2_ext_005_obj_2,0,160,Monitor,1.0,,DiscoverRemoteSystems,1.0,User,,,0,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,1,160,Monitor,1.0,,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,2,160,Monitor,1.0,,ExploitRemoteService,1.0,,"User3(53), User1(40), User2(37)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,3,160,Monitor,0.9938,Op_Server0,PrivilegeEscalate,1.0,User3,,,0,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,4,160,Monitor,1.0,,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,5,160,Monitor,0.9938,User3,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,6,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,7,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,8,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,9,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,10,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,11,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,12,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,13,160,Monitor,0.9938,Enterprise0,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,14,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,15,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,16,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,17,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,18,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,19,160,Monitor,0.9938,Enterprise0,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,20,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,21,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,22,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,23,160,Monitor,0.9938,User0,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,24,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,25,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,26,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,27,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
19,selected,stage2_ext_005_obj_2,28,160,Restore,1.0,Enterprise0,PrivilegeEscalate,1.0,Enterprise0,,"Enterprise0(83), Enterprise1(77)",0,1,0.0,0.0,0.0,1.0,0.0
19,selected,stage2_ext_005_obj_2,29,160,Monitor,1.0,,ExploitRemoteService,1.0,,"Enterprise0(83), Enterprise1(77)",,1,0,0.0,0.0,0.0,0.0,0.0
