seed,candidate_label,policy_id,step_idx,sample_count,blue_action_mode,blue_action_mode_share,blue_target_mode,red_action_mode,red_action_mode_share,red_target_mode,newly_compromised_top_hosts,recovered_top_hosts,mean_newly_compromised_hosts,mean_recovered_hosts,op_server0_compromised_rate,enterprise2_compromised_rate,impact_rate,restore_rate,sleep_rate
7,selected,stage2_ext_022_obj_1,0,24,Analyse,0.3333,Op_Server0,DiscoverRemoteSystems,1.0,User,,,0,0,0.0,0.0,0.0,0.0417,0.0
7,selected,stage2_ext_022_obj_1,1,24,DecoySvchost,0.1667,Enterprise1,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.125,0.125
7,selected,stage2_ext_022_obj_1,2,24,DecoySvchost,0.2083,Enterprise1,ExploitRemoteService,1.0,,"User1(9), User2(7), User4(5)",,1,0,0.0,0.0,0.0,0.1667,0.125
7,selected,stage2_ext_022_obj_1,3,24,DecoyTomcat,0.25,Op_Host1,PrivilegeEscalate,1.0,User1,,,0,0,0.0,0.0,0.0,0.0833,0.125
7,selected,stage2_ext_022_obj_1,4,24,Sleep,0.3333,Enterprise0,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.0417,0.3333
7,selected,stage2_ext_022_obj_1,5,24,Restore,0.1667,Op_Server0,ExploitRemoteService,1.0,,"Enterprise1(16), Enterprise0(7)",User1(1),0.9583,0.0417,0.0,0.0,0.0,0.1667,0.125
7,selected,stage2_ext_022_obj_1,6,24,Restore,0.2083,Enterprise2,PrivilegeEscalate,0.9583,Enterprise1,,Enterprise1(1),0,0.0417,0.0,0.0,0.0,0.2083,0.0417
7,selected,stage2_ext_022_obj_1,7,24,Sleep,0.375,Enterprise2,DiscoverRemoteSystems,0.9167,Enterprise,Enterprise1(1),Enterprise1(1),0.0417,0.0417,0.0,0.0,0.0,0.0417,0.375
7,selected,stage2_ext_022_obj_1,8,24,DecoyTomcat,0.2083,Defender,DiscoverNetworkServices,0.9583,Enterprise1,,Enterprise1(3),0,0.125,0.0,0.0,0.0,0.1667,0.125
7,selected,stage2_ext_022_obj_1,9,24,DecoySvchost,0.1667,User2,ExploitRemoteService,0.9583,Enterprise,Enterprise2(16),User2(1),0.6667,0.0417,0.0,0.6667,0.0,0.0833,0.125
7,selected,stage2_ext_022_obj_1,10,24,DecoyTomcat,0.2083,Defender,PrivilegeEscalate,0.6667,Enterprise2,Enterprise1(1),Enterprise2(1),0.0417,0.0417,0.0,0.625,0.0,0.1667,0.125
7,selected,stage2_ext_022_obj_1,11,24,DecoySvchost,0.2083,Enterprise0,DiscoverNetworkServices,0.625,Enterprise1,Enterprise2(2),,0.0833,0,0.0,0.7083,0.0,0.0833,0.0833
7,selected,stage2_ext_022_obj_1,12,24,DecoyTomcat,0.1667,Op_Server0,ExploitRemoteService,0.625,Enterprise,Op_Server0(12),Enterprise1(1),0.5,0.0417,0.5,0.7083,0.0,0.125,0.125
7,selected,stage2_ext_022_obj_1,13,24,Sleep,0.2083,User3,PrivilegeEscalate,0.5,Op_Server0,,"Enterprise2(1), Enterprise1(1)",0,0.0833,0.5,0.6667,0.0,0.1667,0.2083
7,selected,stage2_ext_022_obj_1,14,24,Restore,0.25,Enterprise1,Impact,0.5,Op_Server0,"Enterprise2(2), Op_Server0(1)","Enterprise2(1), Enterprise1(1)",0.125,0.0833,0.5417,0.7083,0.5,0.25,0.125
7,selected,stage2_ext_022_obj_1,15,24,Sleep,0.3333,Enterprise0,Impact,0.5,Op_Server0,"Enterprise2(1), Enterprise1(1)",,0.0833,0,0.5417,0.75,0.5,0.0417,0.3333
7,selected,stage2_ext_022_obj_1,16,24,Sleep,0.1667,Enterprise2,Impact,0.5417,Op_Server0,Op_Server0(2),Enterprise2(2),0.0833,0.0833,0.625,0.6667,0.5417,0.125,0.1667
7,selected,stage2_ext_022_obj_1,17,24,Restore,0.2083,Enterprise2,Impact,0.5417,Op_Server0,,"Enterprise2(2), Enterprise1(1)",0,0.125,0.625,0.5833,0.5417,0.2083,0.0417
7,selected,stage2_ext_022_obj_1,18,24,Sleep,0.2917,Op_Host0,Impact,0.625,Op_Server0,,,0,0,0.625,0.5833,0.625,0.0417,0.2917
7,selected,stage2_ext_022_obj_1,19,24,Sleep,0.25,Enterprise2,Impact,0.625,Op_Server0,"Enterprise2(2), Enterprise1(1)",Enterprise2(2),0.125,0.0833,0.625,0.5833,0.625,0.1667,0.25
7,selected,stage2_ext_022_obj_1,20,24,DecoyTomcat,0.25,Enterprise0,Impact,0.625,Op_Server0,,,0,0,0.625,0.5833,0.625,0.0417,0.0833
7,selected,stage2_ext_022_obj_1,21,24,Restore,0.25,User2,Impact,0.625,Op_Server0,,Enterprise1(1),0,0.0417,0.625,0.5833,0.625,0.25,0.125
7,selected,stage2_ext_022_obj_1,22,24,DecoyTomcat,0.25,Op_Server0,Impact,0.625,Op_Server0,Op_Server0(2),,0.0833,0,0.7083,0.5833,0.625,0.2083,0.125
7,selected,stage2_ext_022_obj_1,23,24,DecoyTomcat,0.1667,Op_Server0,Impact,0.625,Op_Server0,,Op_Server0(1),0,0.0417,0.6667,0.5833,0.625,0.0833,0.1667
7,selected,stage2_ext_022_obj_1,24,24,DecoySvchost,0.25,Enterprise1,Impact,0.6667,Op_Server0,Enterprise2(1),Enterprise1(2),0.0417,0.0833,0.6667,0.625,0.6667,0.125,0.2083
7,selected,stage2_ext_022_obj_1,25,24,Sleep,0.25,User3,Impact,0.6667,Op_Server0,Op_Server0(1),,0.0417,0,0.7083,0.625,0.6667,0.0,0.25
7,selected,stage2_ext_022_obj_1,26,24,Sleep,0.3333,User2,Impact,0.6667,Op_Server0,,User2(1),0,0.0417,0.7083,0.625,0.6667,0.125,0.3333
7,selected,stage2_ext_022_obj_1,27,24,DecoyTomcat,0.25,Enterprise2,Impact,0.7083,Op_Server0,,Enterprise2(1),0,0.0417,0.7083,0.5833,0.7083,0.0417,0.125
7,selected,stage2_ext_022_obj_1,28,24,Analyse,0.1667,User2,Impact,0.7083,Op_Server0,,"User2(1), Enterprise1(1)",0,0.0833,0.7083,0.5833,0.7083,0.125,0.125
7,selected,stage2_ext_022_obj_1,29,24,Restore,0.25,Defender,Impact,0.7083,Op_Server0,Enterprise2(1),"Enterprise2(1), Op_Server0(1)",0.0417,0.0833,0.6667,0.5833,0.7083,0.25,0.0833
7,selected,stage2_ext_022_obj_1,30,24,Sleep,0.2917,User0,Impact,0.6667,Op_Server0,,,0,0,0.6667,0.5833,0.6667,0.125,0.2917
7,selected,stage2_ext_022_obj_1,31,24,DecoySvchost,0.25,Enterprise0,Impact,0.6667,Op_Server0,Op_Server0(1),,0.0417,0,0.7083,0.5833,0.6667,0.0833,0.1667
7,selected,stage2_ext_022_obj_1,32,24,DecoySSHD,0.1667,User4,Impact,0.6667,Op_Server0,Op_Server0(1),Enterprise1(1),0.0417,0.0417,0.75,0.5833,0.6667,0.0833,0.1667
7,selected,stage2_ext_022_obj_1,33,24,Sleep,0.2917,Enterprise2,Impact,0.7083,Op_Server0,,"User1(1), Enterprise2(1)",0,0.0833,0.75,0.5417,0.7083,0.1667,0.2917
7,selected,stage2_ext_022_obj_1,34,24,Sleep,0.1667,Op_Server0,Impact,0.75,Op_Server0,Enterprise2(1),"Enterprise2(1), User1(1)",0.0417,0.0833,0.75,0.5417,0.75,0.1667,0.1667
7,selected,stage2_ext_022_obj_1,35,24,DecoySvchost,0.1667,Op_Host1,Impact,0.75,Op_Server0,,,0,0,0.75,0.5417,0.75,0.0833,0.1667
7,selected,stage2_ext_022_obj_1,36,24,Sleep,0.2917,User2,Impact,0.75,Op_Server0,Op_Server0(1),Enterprise2(1),0.0417,0.0417,0.7917,0.5,0.75,0.1667,0.2917
7,selected,stage2_ext_022_obj_1,37,24,DecoySvchost,0.25,Enterprise0,Impact,0.75,Op_Server0,"Enterprise0(1), Enterprise2(1)",Enterprise1(1),0.0833,0.0417,0.7917,0.5417,0.75,0.125,0.1667
7,selected,stage2_ext_022_obj_1,38,24,DecoySSHD,0.2083,Enterprise2,Impact,0.7917,Op_Server0,,,0,0,0.7917,0.5417,0.7917,0.125,0.0833
7,selected,stage2_ext_022_obj_1,39,24,DecoyTomcat,0.2083,Op_Server0,Impact,0.7917,Op_Server0,,"User4(1), User2(1)",0,0.0833,0.7917,0.5417,0.7917,0.1667,0.2083
7,selected,stage2_ext_022_obj_1,40,24,DecoySvchost,0.2083,Enterprise0,Impact,0.7917,Op_Server0,,User1(1),0,0.0417,0.7917,0.5417,0.7917,0.0833,0.1667
7,selected,stage2_ext_022_obj_1,41,24,Restore,0.2083,Defender,Impact,0.7917,Op_Server0,Enterprise2(1),Enterprise2(2),0.0417,0.0833,0.7917,0.5,0.7917,0.2083,0.0417
7,selected,stage2_ext_022_obj_1,42,24,Sleep,0.3333,Enterprise1,Impact,0.7917,Op_Server0,,,0,0,0.7917,0.5,0.7917,0.1667,0.3333
7,selected,stage2_ext_022_obj_1,43,24,DecoyTomcat,0.2083,Op_Server0,Impact,0.7917,Op_Server0,Enterprise2(1),"User4(1), Enterprise1(1)",0.0417,0.0833,0.7917,0.5417,0.7917,0.125,0.1667
7,selected,stage2_ext_022_obj_1,44,24,Sleep,0.2917,User2,Impact,0.7917,Op_Server0,Op_Server0(1),User2(1),0.0417,0.0417,0.8333,0.5417,0.7917,0.1667,0.2917
7,selected,stage2_ext_022_obj_1,45,24,DecoySvchost,0.1667,Defender,Impact,0.7917,Op_Server0,,,0,0,0.8333,0.5417,0.7917,0.0833,0.125
7,selected,stage2_ext_022_obj_1,46,24,DecoyTomcat,0.2083,Op_Server0,Impact,0.8333,Op_Server0,Op_Server0(1),,0.0417,0,0.875,0.5417,0.8333,0.0833,0.1667
7,selected,stage2_ext_022_obj_1,47,24,Restore,0.2083,User3,Impact,0.8333,Op_Server0,,"Enterprise1(1), Enterprise2(1)",0,0.0833,0.875,0.5,0.8333,0.2083,0.2083
7,selected,stage2_ext_022_obj_1,48,24,Sleep,0.2083,Enterprise2,Impact,0.875,Op_Server0,,,0,0,0.875,0.5,0.875,0.125,0.2083
7,selected,stage2_ext_022_obj_1,49,24,DecoyTomcat,0.2083,Op_Server0,Impact,0.875,Op_Server0,Enterprise2(1),,0.0417,0,0.875,0.5417,0.875,0.0833,0.0417
7,selected,stage2_ext_022_obj_1,50,24,DecoySSHD,0.2083,Enterprise2,Impact,0.875,Op_Server0,,,0,0,0.875,0.5417,0.875,0.0833,0.0833
7,selected,stage2_ext_022_obj_1,51,24,DecoyTomcat,0.2083,Enterprise1,Impact,0.875,Op_Server0,,Enterprise1(1),0,0.0417,0.875,0.5417,0.875,0.2083,0.1667
7,selected,stage2_ext_022_obj_1,52,24,Sleep,0.2917,Op_Host2,Impact,0.875,Op_Server0,,Enterprise2(1),0,0.0417,0.875,0.5,0.875,0.0833,0.2917
7,selected,stage2_ext_022_obj_1,53,24,Sleep,0.3333,Op_Host1,Impact,0.875,Op_Server0,,Enterprise1(1),0,0.0417,0.875,0.5,0.875,0.0417,0.3333
7,selected,stage2_ext_022_obj_1,54,24,Sleep,0.25,User2,Impact,0.875,Op_Server0,,,0,0,0.875,0.5,0.875,0.0833,0.25
7,selected,stage2_ext_022_obj_1,55,24,Sleep,0.2083,User0,Impact,0.875,Op_Server0,,,0,0,0.875,0.5,0.875,0.0833,0.2083
7,selected,stage2_ext_022_obj_1,56,24,DecoySvchost,0.1667,User0,Impact,0.875,Op_Server0,,Enterprise2(1),0,0.0417,0.875,0.4583,0.875,0.125,0.0417
7,selected,stage2_ext_022_obj_1,57,24,DecoyTomcat,0.25,Defender,Impact,0.875,Op_Server0,,,0,0,0.875,0.4583,0.875,0.0417,0.1667
7,selected,stage2_ext_022_obj_1,58,24,Sleep,0.25,Enterprise2,Impact,0.875,Op_Server0,,,0,0,0.875,0.4583,0.875,0.0833,0.25
7,selected,stage2_ext_022_obj_1,59,24,Remove,0.2083,User4,Impact,0.875,Op_Server0,,Enterprise2(1),0,0.0417,0.875,0.4167,0.875,0.2083,0.0417
7,selected,stage2_ext_022_obj_1,60,24,DecoyTomcat,0.2083,Enterprise2,Impact,0.875,Op_Server0,,,0,0,0.875,0.4167,0.875,0.1667,0.0833
7,selected,stage2_ext_022_obj_1,61,24,DecoySvchost,0.2083,Enterprise0,Impact,0.875,Op_Server0,,,0,0,0.875,0.4167,0.875,0.0,0.0833
7,selected,stage2_ext_022_obj_1,62,24,Analyse,0.1667,Enterprise2,Impact,0.875,Op_Server0,,Op_Server0(1),0,0.0417,0.8333,0.4167,0.875,0.125,0.125
7,selected,stage2_ext_022_obj_1,63,24,DecoyTomcat,0.25,Op_Server0,Impact,0.8333,Op_Server0,,,0,0,0.8333,0.4167,0.8333,0.0,0.1667
7,selected,stage2_ext_022_obj_1,64,24,DecoySSHD,0.2083,Enterprise2,Impact,0.8333,Op_Server0,Op_Server0(1),Enterprise1(1),0.0417,0.0417,0.875,0.4167,0.8333,0.125,0.0833
7,selected,stage2_ext_022_obj_1,65,24,Sleep,0.2083,User2,Impact,0.8333,Op_Server0,,,0,0,0.875,0.4167,0.8333,0.1667,0.2083
7,selected,stage2_ext_022_obj_1,66,24,Sleep,0.2083,Op_Host1,Impact,0.875,Op_Server0,Op_Server0(1),,0.0417,0,0.9167,0.4167,0.875,0.1667,0.2083
7,selected,stage2_ext_022_obj_1,67,24,Sleep,0.1667,Enterprise1,Impact,0.875,Op_Server0,,,0,0,0.9167,0.4167,0.875,0.0833,0.1667
7,selected,stage2_ext_022_obj_1,68,24,Restore,0.2083,Enterprise1,Impact,0.9167,Op_Server0,,Enterprise2(1),0,0.0417,0.9167,0.375,0.9167,0.2083,0.2083
