seed,candidate_label,policy_id,hostname,subnet,role_group,is_critical,compromised_presence_rate,new_compromise_count,recovered_count,blue_target_count,blue_restore_count,blue_analyse_count,blue_decoy_count,red_target_count,red_impact_count
11,selected,stage2_ext_022_obj_1,User0,User,user,False,1.0,0,0,188,5,50,109,0,0
11,selected,stage2_ext_022_obj_1,User1,User,user,False,0.1225,3,0,86,2,20,64,3,0
11,selected,stage2_ext_022_obj_1,User2,User,user,False,0.31,8,1,197,5,47,144,8,0
11,selected,stage2_ext_022_obj_1,User3,User,user,False,0.245,6,0,138,1,23,81,7,0
11,selected,stage2_ext_022_obj_1,User4,User,user,False,0.1925,8,4,83,23,1,51,49,0
11,selected,stage2_ext_022_obj_1,Defender,Enterprise,defender,False,0.0,0,0,116,9,69,38,0,0
11,selected,stage2_ext_022_obj_1,Enterprise0,Enterprise,enterprise,False,0.3908,17,8,281,39,4,230,43,0
11,selected,stage2_ext_022_obj_1,Enterprise1,Enterprise,enterprise,False,0.3325,11,5,187,22,3,161,14,0
11,selected,stage2_ext_022_obj_1,Enterprise2,Enterprise,enterprise,False,0.2954,44,38,549,135,2,402,79,0
11,selected,stage2_ext_022_obj_1,Op_Host0,Operational,operational,False,0.0,0,0,146,9,44,93,0,0
11,selected,stage2_ext_022_obj_1,Op_Host1,Operational,operational,False,0.0,0,0,82,1,0,80,0,0
11,selected,stage2_ext_022_obj_1,Op_Host2,Operational,operational,False,0.0,0,0,102,3,16,74,0,0
11,selected,stage2_ext_022_obj_1,Op_Server0,Operational,mission_critical,True,0.6267,51,31,240,52,10,176,1513,1433
