seed,candidate_label,policy_id,step_idx,sample_count,blue_action_mode,blue_action_mode_share,blue_target_mode,red_action_mode,red_action_mode_share,red_target_mode,newly_compromised_top_hosts,recovered_top_hosts,mean_newly_compromised_hosts,mean_recovered_hosts,op_server0_compromised_rate,enterprise2_compromised_rate,impact_rate,restore_rate,sleep_rate
19,closest_candidate,stage2_ext_023_obj_2,0,24,Analyse,0.3333,User2,DiscoverRemoteSystems,1.0,User,,,0,0,0.0,0.0,0.0,0.0417,0.0
19,closest_candidate,stage2_ext_023_obj_2,1,24,Analyse,0.3333,Enterprise2,DiscoverNetworkServices,1.0,,,,0,0,0.0,0.0,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,2,24,Analyse,0.2917,User3,ExploitRemoteService,1.0,,"User3(10), User4(5), User1(5)",,0.9583,0,0.0,0.0,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,3,24,Analyse,0.4583,User2,PrivilegeEscalate,0.9583,User3,User1(1),User2(1),0.0417,0.0417,0.0,0.0,0.0,0.0417,0.0
19,closest_candidate,stage2_ext_023_obj_2,4,24,Analyse,0.5,User2,DiscoverNetworkServices,0.9167,User1,User2(1),,0.0417,0,0.0,0.0,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,5,24,DecoyTomcat,0.2083,User0,ExploitRemoteService,0.9167,User2,"Enterprise0(13), Enterprise1(7)",,0.8333,0,0.0,0.0,0.0,0.0417,0.0
19,closest_candidate,stage2_ext_023_obj_2,6,24,DecoyTomcat,0.2917,Enterprise2,PrivilegeEscalate,0.8333,Enterprise0,Enterprise1(1),,0.0417,0,0.0,0.0,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,7,24,Analyse,0.5,User2,DiscoverRemoteSystems,0.8333,Enterprise,Enterprise1(1),,0.0417,0,0.0,0.0,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,8,24,Analyse,0.375,User2,DiscoverNetworkServices,0.9167,Enterprise1,,,0,0,0.0,0.0,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,9,24,Analyse,0.375,User2,ExploitRemoteService,0.9167,Enterprise,"Enterprise2(8), Enterprise0(1)",,0.375,0,0.0,0.3333,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,10,24,Analyse,0.5,User2,ExploitRemoteService,0.5833,Enterprise2,Enterprise2(1),,0.0417,0,0.0,0.375,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,11,24,Analyse,0.4167,User0,PrivilegeEscalate,0.5833,Enterprise0,Enterprise2(1),,0.0417,0,0.0,0.4167,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,12,24,Analyse,0.3333,User2,DiscoverRemoteSystems,0.5,Enterprise,Op_Server0(5),,0.2083,0,0.2083,0.4167,0.0,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,13,24,Analyse,0.5,User2,DiscoverNetworkServices,0.5417,Op_Server0,,Enterprise2(1),0,0.0417,0.2083,0.375,0.0,0.0417,0.0
19,closest_candidate,stage2_ext_023_obj_2,14,24,Analyse,0.2917,Enterprise2,ExploitRemoteService,0.6667,Op_Server0,"Enterprise2(3), Op_Server0(1)",,0.1667,0,0.25,0.5,0.2083,0.0417,0.0
19,closest_candidate,stage2_ext_023_obj_2,15,24,Analyse,0.4167,User2,ExploitRemoteService,0.4167,Op_Server0,,,0,0,0.25,0.5,0.2083,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,16,24,Analyse,0.2917,Enterprise2,PrivilegeEscalate,0.4167,Op_Server0,Op_Server0(1),,0.0417,0,0.2917,0.5,0.25,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,17,24,Analyse,0.2917,User3,DiscoverRemoteSystems,0.375,Enterprise,"Op_Server0(1), Enterprise0(1)",,0.0833,0,0.3333,0.5,0.25,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,18,24,Analyse,0.4167,User2,DiscoverNetworkServices,0.375,Op_Server0,,,0,0,0.3333,0.5,0.2917,0.0417,0.0
19,closest_candidate,stage2_ext_023_obj_2,19,24,Analyse,0.3333,User2,ExploitRemoteService,0.5,Op_Server0,Enterprise2(2),,0.0833,0,0.3333,0.5833,0.3333,0.0,0.0
19,closest_candidate,stage2_ext_023_obj_2,20,24,Analyse,0.375,User2,ExploitRemoteService,0.375,Op_Server0,Op_Server0(1),,0.0417,0,0.375,0.5833,0.3333,0.0,0.0
