method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,0,19,-525.8999900221825,-85.89250020310283,-16.24000011384487,False,False,True,5,88,True,True,12,10,5,6,1,7,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,1,1019,-317.0999874472618,-55.06000020727515,-15.520000100135803,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,2,2019,-409.5999826788902,-77.4625001847744,-16.84000015258789,False,False,True,5,,False,False,0,0,4,7,2,,False,Tier 1 Near-Miss
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,3,3019,-1390.1000136733055,-156.7149993777275,-15.840000122785568,True,False,False,5,17,True,True,83,81,5,10,5,3,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,4,4019,-575.9999961256981,-83.93000008910894,-16.1200001090765,False,False,True,5,81,True,True,19,17,5,7,2,8,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,5,5019,-318.0999874472618,-54.78500033169985,-15.430000096559525,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,6,6019,-931.9500078558922,-121.25749940797687,-16.520000159740448,False,False,True,5,56,True,True,44,42,5,9,4,1,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_000,7,7019,-373.59998458623886,-68.34250026196241,-14.830000072717667,False,False,True,5,,False,False,0,0,4,6,1,,False,Tier 1 Near-Miss
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_001,0,20,-1253.5000085234642,-117.39499923214316,-16.230000123381615,False,False,True,5,12,True,True,88,86,5,6,1,1,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_001,1,1020,-409.5999826788902,-78.4250000230968,-16.72000014781952,False,False,True,5,,False,False,0,0,4,8,3,,False,Tier 1 Near-Miss
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_001,2,2020,-243.69999116659164,-37.64250027760863,-15.300000101327896,False,False,True,9,,False,False,0,0,3,10,1,,False,Tier 1 Near-Miss
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_001,3,3020,-708.2499946951866,-167.94749888405204,-15.750000104308128,True,False,False,5,12,True,True,86,83,5,9,4,2,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_001,4,4020,-1463.650031298399,-164.799999140203,-15.45000010728836,True,False,False,7,14,True,True,86,84,5,9,2,2,False,Tier 3 Persistent Critical Breach
no_constraint_stage2_fair,19,stage2_ext_023_obj_2,closest_candidate,episode_001,5,5020,-230.09999173879623,-36.230000242590904,-15.590000107884407,False,False,True,17,,False,False,0,0,3,18,1,,False,Tier 1 Near-Miss
