method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,0,7,-383.3999983072281,-103.60250091552734,-31.230000436306,False,True,False,5,25,True,True,49,42,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,1,1007,-422.24999755620956,-114.91000011190772,-28.63000036776066,False,True,False,5,12,True,True,48,37,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,2,2007,-435.2499970793724,-113.34250057861209,-29.240000396966934,False,True,False,5,17,True,False,53,46,4,7,2,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,3,3007,-389.5499966442585,-94.28000019863248,-32.250000447034836,False,True,False,5,12,True,False,28,21,4,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,4,4007,-393.4499962627888,-85.93749982863665,-30.190000399947166,False,True,False,5,12,True,False,23,17,4,7,2,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,5,5007,-363.14999821037054,-99.82500047981739,-32.23000045120716,False,True,False,5,14,True,False,40,32,4,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,6,6007,-350.3499987721443,-100.86499965935946,-29.600000396370888,False,True,False,5,18,True,False,44,38,4,6,1,2,False,Tier 2 Transient Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_000,7,7007,-323.8999976217747,-90.14749982580543,-28.71000038087368,False,True,False,5,14,True,False,31,25,5,6,1,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_001,0,8,-295.7499979734421,-78.67499938607216,-32.45000045001507,False,True,False,5,40,True,False,19,15,4,7,2,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair,7,stage1_pref_000_ckpt_191,deployment_like,episode_001,1,1008,-535.4499968588352,-138.53500105440617,-30.560000404715538,True,True,False,5,12,True,True,65,52,5,6,1,1,False,Tier 3 Persistent Critical Breach
