method_name,display_name,preference_index,preference_label,pref_security,pref_business,pref_cost,dominant_policy_id,dominant_slot,dominant_count,dominant_share,num_distinct_policies
ours_stage2,Ours Stage2,0,"(0, 0, 1)",0.0,0.0,1.0,stage1_pref_002_ckpt_191,7,3,0.6,3
ours_stage2,Ours Stage2,1,"(0, 0.1, 0.9)",0.0,0.10000000149011612,0.8999999761581421,stage1_pref_002_ckpt_191,7,3,0.6,3
ours_stage2,Ours Stage2,2,"(0, 0.2, 0.8)",0.0,0.20000000298023224,0.800000011920929,stage1_pref_002_ckpt_191,7,1,0.2,5
ours_stage2,Ours Stage2,3,"(0, 0.3, 0.7)",0.0,0.30000001192092896,0.699999988079071,stage1_pref_001_ckpt_191,5,1,0.2,5
ours_stage2,Ours Stage2,4,"(0, 0.4, 0.6)",0.0,0.4000000059604645,0.6000000238418579,stage2_ext_002_obj_0,2,1,0.2,5
ours_stage2,Ours Stage2,5,"(0, 0.5, 0.5)",0.0,0.5,0.5,stage2_ext_000_obj_0,1,1,0.2,5
ours_stage2,Ours Stage2,6,"(0, 0.6, 0.4)",0.0,0.6000000238418579,0.4000000059604645,stage2_ext_000_obj_0,1,1,0.2,5
ours_stage2,Ours Stage2,7,"(0, 0.7, 0.3)",0.0,0.699999988079071,0.30000001192092896,stage2_ext_000_obj_0,1,1,0.2,5
ours_stage2,Ours Stage2,8,"(0, 0.8, 0.2)",0.0,0.800000011920929,0.20000000298023224,stage2_ext_000_obj_0,1,1,0.2,5
ours_stage2,Ours Stage2,9,"(0, 0.9, 0.1)",0.0,0.8999999761581421,0.10000000149011612,stage2_ext_000_obj_0,1,1,0.2,5
ours_stage2,Ours Stage2,10,"(0, 1, 0)",0.0,1.0,0.0,stage2_ext_000_obj_0,1,1,0.2,5
ours_stage2,Ours Stage2,11,"(0.1, 0, 0.9)",0.10000000149011612,0.0,0.8999999761581421,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,12,"(0.1, 0.1, 0.8)",0.10000000149011612,0.10000000149011612,0.800000011920929,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,13,"(0.1, 0.2, 0.7)",0.10000000149011612,0.20000000298023224,0.699999988079071,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,14,"(0.1, 0.3, 0.6)",0.10000000149011612,0.30000001192092896,0.6000000238418579,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,15,"(0.1, 0.4, 0.5)",0.10000000149011612,0.4000000059604645,0.5,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,16,"(0.1, 0.5, 0.4)",0.10000000149011612,0.5,0.4000000059604645,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,17,"(0.1, 0.6, 0.3)",0.10000000149011612,0.6000000238418579,0.30000001192092896,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,18,"(0.1, 0.7, 0.2)",0.10000000149011612,0.699999988079071,0.20000000298023224,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,19,"(0.1, 0.8, 0.1)",0.10000000149011612,0.800000011920929,0.10000000149011612,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,20,"(0.1, 0.9, 0)",0.10000000149011612,0.8999999761581421,0.0,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,21,"(0.2, 0, 0.8)",0.20000000298023224,0.0,0.800000011920929,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,22,"(0.2, 0.1, 0.7)",0.20000000298023224,0.10000000149011612,0.699999988079071,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,23,"(0.2, 0.2, 0.6)",0.20000000298023224,0.20000000298023224,0.6000000238418579,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,24,"(0.2, 0.3, 0.5)",0.20000000298023224,0.30000001192092896,0.5,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,25,"(0.2, 0.4, 0.4)",0.20000000298023224,0.4000000059604645,0.4000000059604645,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,26,"(0.2, 0.5, 0.3)",0.20000000298023224,0.5,0.30000001192092896,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,27,"(0.2, 0.6, 0.2)",0.20000000298023224,0.6000000238418579,0.20000000298023224,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,28,"(0.2, 0.7, 0.1)",0.20000000298023224,0.699999988079071,0.10000000149011612,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,29,"(0.2, 0.8, 0)",0.20000000298023224,0.800000011920929,0.0,stage2_ext_000_obj_0,1,3,0.6,3
ours_stage2,Ours Stage2,30,"(0.3, 0, 0.7)",0.30000001192092896,0.0,0.699999988079071,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,31,"(0.3, 0.1, 0.6)",0.30000001192092896,0.10000000149011612,0.6000000238418579,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,32,"(0.3, 0.2, 0.5)",0.30000001192092896,0.20000000298023224,0.5,stage2_ext_000_obj_0,1,2,0.4,4
ours_stage2,Ours Stage2,33,"(0.3, 0.3, 0.4)",0.30000001192092896,0.30000001192092896,0.4000000059604645,stage2_ext_000_obj_0,1,2,0.4,4
