policy_id,best_level_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,final_critical_compromised_hosts,high_disruption_action_rate,margin_L0,margin_L1,margin_L2,margin_L3,margin_STRICT
stage1_pref_000_ckpt_191,,mean_violation,high_disruption,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025,-7.933000183105468,-10.166250228881836,-10.416250228881836,-10.566250228881836,-10.666250228881836
stage1_pref_002_ckpt_000,,mean_violation,high_disruption,-148.7973175048828,-20.931499481201172,24.871374130249023,0.975,0.89775,-18.89709930419922,-23.871374130249023,-24.121374130249023,-24.271374130249022,-24.371374130249023
stage1_pref_002_ckpt_191,,mean_violation,business,-163.86160278320312,-0.03700000047683716,38.86161804199219,1.0,0.00175,-30.08929443359375,-37.86161804199219,-38.11161804199219,-38.261618041992186,-38.36161804199219
stage1_pref_003_ckpt_191,,mean_violation,high_disruption,-119.70206451416016,-29.0935001373291,10.50500202178955,0.625,0.99425,-7.404001617431641,-9.50500202178955,-9.75500202178955,-9.905002021789551,-10.00500202178955
stage1_pref_005_ckpt_000,,mean_violation,high_disruption,-148.2998046875,-20.919750213623047,25.723499298095703,0.95,0.8985,-19.578799438476562,-24.723499298095703,-24.973499298095703,-25.1234992980957,-25.223499298095703
stage1_pref_005_ckpt_096,,mean_violation,high_disruption,-139.7053680419922,-19.241500854492188,18.30093765258789,0.975,0.89,-13.640750122070312,-17.30093765258789,-17.55093765258789,-17.70093765258789,-17.80093765258789
stage2_ext_000_obj_0,,mean_violation,business,-163.88067626953125,-0.18700000643730164,38.88068389892578,1.0,0.00825,-30.104547119140626,-37.88068389892578,-38.13068389892578,-38.28068389892578,-38.38068389892578
stage2_ext_001_obj_1,,mean_violation,business,-163.9222412109375,-0.23524999618530273,38.922245025634766,1.0,0.01075,-30.137796020507814,-37.922245025634766,-38.172245025634766,-38.322245025634764,-38.422245025634766
stage2_ext_002_obj_2,,mean_violation,business,-159.02468872070312,-12.25,34.32887268066406,1.0,0.5215,-26.46309814453125,-33.32887268066406,-33.57887268066406,-33.72887268066406,-33.82887268066406
stage2_ext_003_obj_0,,mean_violation,high_disruption,-130.9423828125,-17.60274887084961,7.0112504959106445,1.0,0.66125,-4.609000396728516,-6.0112504959106445,-6.2612504959106445,-6.411250495910645,-6.5112504959106445
stage2_ext_004_obj_1,,mean_violation,high_disruption,-132.09512329101562,-16.161998748779297,7.60524845123291,0.975,0.55825,-5.084198760986328,-6.60524845123291,-6.85524845123291,-7.0052484512329105,-7.10524845123291
stage2_ext_005_obj_0,,mean_violation,business,-151.57012939453125,-19.352750778198242,28.584503173828125,0.825,0.66025,-21.8676025390625,-27.584503173828125,-27.834503173828125,-27.984503173828124,-28.084503173828125
stage2_ext_006_obj_1,,mean_violation,high_disruption,-142.7234344482422,-18.063501358032227,23.81043815612793,0.8,0.66475,-18.048350524902343,-22.81043815612793,-23.06043815612793,-23.21043815612793,-23.31043815612793
stage2_ext_008_obj_1,,mean_violation,business,-163.8854217529297,-0.1889999955892563,38.88542938232422,1.0,0.00875,-30.108343505859374,-37.88542938232422,-38.13542938232422,-38.28542938232422,-38.38542938232422
stage2_ext_009_obj_2,,mean_violation,business,-154.84231567382812,-9.607500076293945,30.042308807373047,1.0,0.39225,-23.033847045898437,-29.042308807373047,-29.292308807373047,-29.442308807373045,-29.542308807373047
stage2_ext_011_obj_1,,mean_violation,high_disruption,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225,-2.6733497619628905,-3.5916872024536133,-3.8416872024536133,-3.991687202453613,-4.091687202453613
