policy_id,best_level_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,final_critical_compromised_hosts,high_disruption_action_rate,margin_L0,margin_L1,margin_L2,margin_L3,margin_STRICT
stage1_pref_000_ckpt_096,,mean_violation,high_disruption,-112.79475402832031,-25.423748016357422,4.616562366485596,0.525,0.939,-2.6932498931884767,-3.6165623664855957,-3.8665623664855957,-4.016562366485596,-4.116562366485596
stage1_pref_000_ckpt_191,,mean_violation,high_disruption,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025,-7.933000183105468,-10.166250228881836,-10.416250228881836,-10.566250228881836,-10.666250228881836
stage1_pref_001_ckpt_000,,mean_violation,high_disruption,-145.9943084716797,-20.815250396728516,24.355499267578125,0.975,0.8955,-18.4843994140625,-23.355499267578125,-23.605499267578125,-23.755499267578124,-23.855499267578125
stage1_pref_002_ckpt_000,,mean_violation,high_disruption,-148.7973175048828,-20.931499481201172,24.871374130249023,0.975,0.89775,-18.89709930419922,-23.871374130249023,-24.121374130249023,-24.271374130249022,-24.371374130249023
stage1_pref_002_ckpt_191,,mean_violation,business,-163.86160278320312,-0.03700000047683716,38.86161804199219,1.0,0.00175,-30.08929443359375,-37.86161804199219,-38.11161804199219,-38.261618041992186,-38.36161804199219
stage1_pref_003_ckpt_191,,mean_violation,high_disruption,-119.70206451416016,-29.0935001373291,10.50500202178955,0.625,0.99425,-7.404001617431641,-9.50500202178955,-9.75500202178955,-9.905002021789551,-10.00500202178955
stage1_pref_004_ckpt_191,,mean_violation,high_disruption,-145.59881591796875,-19.194751739501953,25.202251434326172,0.85,0.7365,-19.161801147460938,-24.202251434326172,-24.452251434326172,-24.60225143432617,-24.702251434326172
stage1_pref_005_ckpt_000,,mean_violation,high_disruption,-148.2998046875,-20.919750213623047,25.723499298095703,0.95,0.8985,-19.578799438476562,-24.723499298095703,-24.973499298095703,-25.1234992980957,-25.223499298095703
stage1_pref_005_ckpt_096,,mean_violation,high_disruption,-139.7053680419922,-19.241500854492188,18.30093765258789,0.975,0.89,-13.640750122070312,-17.30093765258789,-17.55093765258789,-17.70093765258789,-17.80093765258789
stage2_ext_000_obj_0,,mean_violation,high_disruption,-130.9708709716797,-17.61574935913086,7.03743839263916,1.0,0.6615,-4.629950714111328,-6.03743839263916,-6.28743839263916,-6.4374383926391605,-6.53743839263916
stage2_ext_001_obj_1,,mean_violation,business,-132.32681274414062,-16.115001678466797,7.588438510894775,0.975,0.55475,-5.07075080871582,-6.588438510894775,-6.838438510894775,-6.988438510894776,-7.088438510894775
