policy_id,best_level_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,final_critical_compromised_hosts,high_disruption_action_rate,margin_L0,margin_L1,margin_L2,margin_L3,margin_STRICT
stage1_pref_000_ckpt_096,,mean_violation,high_disruption,-117.03913879394531,-25.574501037597656,5.8563127517700195,0.675,0.93525,-3.685050201416016,-4.8563127517700195,-5.1063127517700195,-5.25631275177002,-5.3563127517700195
stage1_pref_000_ckpt_191,,mean_violation,high_disruption,-105.37906646728516,-30.83500099182129,10.97606372833252,0.525,0.9865,-7.780850982666015,-9.97606372833252,-10.22606372833252,-10.37606372833252,-10.47606372833252
stage1_pref_001_ckpt_191,,mean_violation,high_disruption,-134.98744201660156,-16.284000396728516,9.987436294555664,1.0,0.5995,-6.989949035644531,-8.987436294555664,-9.237436294555664,-9.387436294555664,-9.487436294555664
stage1_pref_002_ckpt_191,,mean_violation,business,-163.85411071777344,-0.01899999938905239,38.85411834716797,1.0,0.00075,-30.083294677734376,-37.85411834716797,-38.10411834716797,-38.25411834716797,-38.35411834716797
stage1_pref_003_ckpt_191,,mean_violation,high_disruption,-122.0508041381836,-28.957998275756836,11.824063301086426,0.725,0.995,-8.45925064086914,-10.824063301086426,-11.074063301086426,-11.224063301086426,-11.324063301086426
stage1_pref_004_ckpt_191,,mean_violation,high_disruption,-147.67855834960938,-19.152000427246094,26.352123260498047,0.825,0.72475,-20.081698608398437,-25.352123260498047,-25.602123260498047,-25.752123260498045,-25.852123260498047
stage2_ext_003_obj_0,,mean_violation,high_disruption,-132.25112915039062,-17.371749877929688,7.81674861907959,1.0,0.662,-5.253398895263672,-6.81674861907959,-7.06674861907959,-7.21674861907959,-7.31674861907959
stage2_ext_005_obj_0,,mean_violation,high_disruption,-118.59281158447266,-24.35875129699707,5.7117509841918945,0.75,0.94325,-3.5694007873535156,-4.7117509841918945,-4.9617509841918945,-5.111750984191895,-5.2117509841918945
stage2_ext_006_obj_1,,mean_violation,high_disruption,-109.51480865478516,-29.61224937438965,10.113751411437988,0.45,0.97425,-7.09100112915039,-9.113751411437988,-9.363751411437988,-9.513751411437989,-9.613751411437988
stage2_ext_007_obj_0,,mean_violation,business,-163.74630737304688,-0.41100001335144043,38.746307373046875,1.0,0.0175,-29.9970458984375,-37.746307373046875,-37.996307373046875,-38.146307373046874,-38.246307373046875
stage2_ext_011_obj_0,,mean_violation,high_disruption,-149.65382385253906,-19.210250854492188,27.422500610351562,0.875,0.77825,-20.93800048828125,-26.422500610351562,-26.672500610351562,-26.82250061035156,-26.922500610351562
stage2_ext_013_obj_2,,mean_violation,business,-163.53713989257812,-12.593500137329102,38.53712463378906,1.0,0.47575,-29.82969970703125,-37.53712463378906,-37.78712463378906,-37.93712463378906,-38.03712463378906
