policy_id,best_level_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,final_critical_compromised_hosts,high_disruption_action_rate,margin_L0,margin_L1,margin_L2,margin_L3,margin_STRICT
stage1_pref_000_ckpt_096,,mean_violation,high_disruption,-117.2723617553711,-25.572500228881836,6.156749725341797,0.725,0.93375,-3.9253997802734375,-5.156749725341797,-5.406749725341797,-5.556749725341797,-5.656749725341797
stage1_pref_000_ckpt_191,,mean_violation,high_disruption,-106.2420654296875,-30.91400146484375,10.180063247680664,0.5,0.986,-7.144050598144531,-9.180063247680664,-9.430063247680664,-9.580063247680664,-9.680063247680664
stage1_pref_001_ckpt_191,,mean_violation,high_disruption,-133.23699951171875,-16.4637508392334,9.862436294555664,1.0,0.6095,-6.889949035644531,-8.862436294555664,-9.112436294555664,-9.262436294555664,-9.362436294555664
stage1_pref_002_ckpt_191,,mean_violation,business,-163.85873413085938,-0.03700000047683716,38.858741760253906,1.0,0.00175,-30.086993408203124,-37.858741760253906,-38.108741760253906,-38.258741760253905,-38.358741760253906
stage1_pref_003_ckpt_191,,mean_violation,high_disruption,-119.16462707519531,-29.366497039794922,11.143000602722168,0.5,0.99525,-7.914400482177735,-10.143000602722168,-10.393000602722168,-10.543000602722168,-10.643000602722168
stage1_pref_004_ckpt_191,,mean_violation,high_disruption,-147.387939453125,-18.653751373291016,26.799938201904297,0.8,0.7125,-20.43995056152344,-25.799938201904297,-26.049938201904297,-26.199938201904295,-26.299938201904297
stage2_ext_003_obj_0,,mean_violation,high_disruption,-131.49337768554688,-17.63450050354004,7.30493688583374,1.0,0.66925,-4.843949508666992,-6.30493688583374,-6.55493688583374,-6.704936885833741,-6.80493688583374
stage2_ext_005_obj_0,,mean_violation,high_disruption,-119.95094299316406,-24.357999801635742,6.243188381195068,0.9,0.9405,-3.9945507049560547,-5.243188381195068,-5.493188381195068,-5.643188381195069,-5.743188381195068
stage2_ext_006_obj_1,,mean_violation,high_disruption,-111.21430969238281,-29.45949935913086,10.130937576293945,0.525,0.97475,-7.104750061035157,-9.130937576293945,-9.380937576293945,-9.530937576293946,-9.630937576293945
stage2_ext_007_obj_0,,mean_violation,business,-163.88925170898438,-0.36625003814697266,38.889244079589844,1.0,0.016,-30.111395263671874,-37.889244079589844,-38.139244079589844,-38.28924407958984,-38.389244079589844
stage2_ext_011_obj_0,,mean_violation,high_disruption,-144.55331420898438,-19.430248260498047,24.0673770904541,0.95,0.7895,-18.25390167236328,-23.0673770904541,-23.3173770904541,-23.4673770904541,-23.5673770904541
stage2_ext_013_obj_2,,mean_violation,business,-157.6147003173828,-12.45050048828125,32.907936096191406,1.0,0.45825,-25.326348876953126,-31.907936096191406,-32.157936096191406,-32.307936096191405,-32.407936096191406
