policy_id,best_level_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,final_critical_compromised_hosts,high_disruption_action_rate,margin_L0,margin_L1,margin_L2,margin_L3,margin_STRICT
stage1_pref_000_ckpt_096,,mean_violation,high_disruption,-112.79475402832031,-25.423748016357422,4.616562366485596,0.525,0.939,-2.6932498931884767,-3.6165623664855957,-3.8665623664855957,-4.016562366485596,-4.116562366485596
stage1_pref_000_ckpt_191,,mean_violation,high_disruption,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025,-7.933000183105468,-10.166250228881836,-10.416250228881836,-10.566250228881836,-10.666250228881836
stage1_pref_001_ckpt_191,,mean_violation,high_disruption,-134.1558074951172,-16.087249755859375,9.349874496459961,1.0,0.59025,-6.479899597167969,-8.349874496459961,-8.599874496459961,-8.749874496459961,-8.849874496459961
stage1_pref_002_ckpt_191,,mean_violation,business,-163.86160278320312,-0.03700000047683716,38.86161804199219,1.0,0.00175,-30.08929443359375,-37.86161804199219,-38.11161804199219,-38.261618041992186,-38.36161804199219
stage1_pref_003_ckpt_191,,mean_violation,high_disruption,-119.70206451416016,-29.0935001373291,10.50500202178955,0.625,0.99425,-7.404001617431641,-9.50500202178955,-9.75500202178955,-9.905002021789551,-10.00500202178955
stage1_pref_004_ckpt_191,,mean_violation,high_disruption,-145.59881591796875,-19.194751739501953,25.202251434326172,0.85,0.7365,-19.161801147460938,-24.202251434326172,-24.452251434326172,-24.60225143432617,-24.702251434326172
stage2_ext_003_obj_0,,mean_violation,high_disruption,-132.56825256347656,-17.226999282836914,7.695374965667725,1.0,0.647,-5.15629997253418,-6.695374965667725,-6.945374965667725,-7.095374965667725,-7.195374965667725
stage2_ext_005_obj_0,,mean_violation,high_disruption,-117.69425201416016,-24.321250915527344,5.377501010894775,0.75,0.943,-3.30200080871582,-4.377501010894775,-4.627501010894775,-4.777501010894776,-4.877501010894775
stage2_ext_006_obj_1,,mean_violation,high_disruption,-114.1139907836914,-29.715999603271484,11.508625030517578,0.55,0.97975,-8.206900024414063,-10.508625030517578,-10.758625030517578,-10.908625030517578,-11.008625030517578
stage2_ext_007_obj_0,,mean_violation,business,-163.91616821289062,-0.32450002431869507,38.91618728637695,1.0,0.015,-30.132949829101562,-37.91618728637695,-38.16618728637695,-38.31618728637695,-38.41618728637695
stage2_ext_011_obj_0,,mean_violation,high_disruption,-142.58837890625,-19.496749877929688,22.518186569213867,0.875,0.78575,-17.014549255371094,-21.518186569213867,-21.768186569213867,-21.918186569213866,-22.018186569213867
stage2_ext_013_obj_2,,mean_violation,business,-160.6574249267578,-12.232250213623047,37.71862030029297,1.0,0.46175,-29.174896240234375,-36.71862030029297,-36.96862030029297,-37.11862030029297,-37.21862030029297
