policy_id,best_shell_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,high_disruption_action_rate,final_critical_compromised_hosts,strict_margin,passed_S0,margin_S0,passed_S1,margin_S1,passed_S2,margin_S2,passed_STRICT,margin_STRICT
stage1_pref_000_ckpt_191,,cost,high_disruption,-109.0921859741211,-30.797250747680664,11.166250228881836,0.99025,0.375,-10.666250228881836,False,-30.56200075149536,False,-30.609250746667385,False,-30.64775074273348,False,-10.666250228881836
stage1_pref_002_ckpt_000,,cost,mean_violation,-148.7973175048828,-20.931499481201172,24.871374130249023,0.89775,0.975,-24.371374130249023,False,-20.69624948501587,False,-20.743499480187893,False,-20.781999476253986,False,-24.371374130249023
stage1_pref_002_ckpt_191,,mean_violation,business,-163.86160278320312,-0.03700000047683716,38.86161804199219,0.00175,1.0,-38.36161804199219,False,-2.699344175411403,False,-4.31750020063276,False,-5.066099942613049,False,-38.36161804199219
stage1_pref_003_ckpt_191,,cost,high_disruption,-119.70206451416016,-29.0935001373291,10.50500202178955,0.99425,0.625,-10.00500202178955,False,-28.8582501411438,False,-28.905500136315823,False,-28.944000132381916,False,-10.00500202178955
stage1_pref_005_ckpt_000,,cost,mean_violation,-148.2998046875,-20.919750213623047,25.723499298095703,0.8985,0.95,-25.223499298095703,False,-20.684500217437744,False,-20.731750212609768,False,-20.77025020867586,False,-25.223499298095703
stage1_pref_005_ckpt_096,,cost,high_disruption,-139.7053680419922,-19.241500854492188,18.30093765258789,0.89,0.975,-17.80093765258789,False,-19.006250858306885,False,-19.05350085347891,False,-19.092000849545002,False,-17.80093765258789
stage2_ext_000_obj_0,,mean_violation,business,-163.88067626953125,-0.18700000643730164,38.88068389892578,0.00825,1.0,-38.38068389892578,False,-2.701159106707375,False,-4.3201090137285005,False,-5.0690760254288945,False,-38.38068389892578
stage2_ext_001_obj_1,,mean_violation,business,-163.9222412109375,-0.23524999618530273,38.922245025634766,0.01075,1.0,-38.422245025634766,False,-2.705115424528426,False,-4.325795892215514,False,-5.075563504876402,False,-38.422245025634766
stage2_ext_002_obj_2,,cost,mean_violation,-159.02468872070312,-12.25,34.32887268066406,0.5215,1.0,-33.82887268066406,False,-12.014750003814697,False,-12.061999998986721,False,-12.100499995052814,False,-33.82887268066406
stage2_ext_003_obj_0,,cost,high_disruption,-130.9423828125,-17.60274887084961,7.0112504959106445,0.66125,1.0,-6.5112504959106445,False,-17.367498874664307,False,-17.41474886983633,False,-17.453248865902424,False,-6.5112504959106445
stage2_ext_004_obj_1,,cost,high_disruption,-132.09512329101562,-16.161998748779297,7.60524845123291,0.55825,0.975,-7.10524845123291,False,-15.926748752593994,False,-15.973998747766018,False,-16.01249874383211,False,-7.10524845123291
stage2_ext_005_obj_0,,cost,mean_violation,-151.57012939453125,-19.352750778198242,28.584503173828125,0.66025,0.825,-28.084503173828125,False,-19.11750078201294,False,-19.164750777184963,False,-19.203250773251057,False,-28.084503173828125
stage2_ext_006_obj_1,,cost,mean_violation,-142.7234344482422,-18.063501358032227,23.81043815612793,0.66475,0.8,-23.31043815612793,False,-17.828251361846924,False,-17.875501357018948,False,-17.91400135308504,False,-23.31043815612793
stage2_ext_008_obj_1,,mean_violation,business,-163.8854217529297,-0.1889999955892563,38.88542938232422,0.00875,1.0,-38.38542938232422,False,-2.701610842308053,False,-4.3207583461596935,False,-5.069816771131759,False,-38.38542938232422
stage2_ext_009_obj_2,,cost,mean_violation,-154.84231567382812,-9.607500076293945,30.042308807373047,0.39225,1.0,-29.542308807373047,False,-9.372250080108643,False,-9.419500075280666,False,-9.45800007134676,False,-29.542308807373047
stage2_ext_011_obj_1,,cost,high_disruption,-116.2161865234375,-24.27775001525879,4.591687202453613,0.9225,0.8,-4.091687202453613,False,-24.042500019073486,False,-24.08975001424551,False,-24.128250010311604,False,-4.091687202453613
