policy_id,best_shell_reached,primary_blocker,secondary_blocker,business_return,cost_return,mean_violation,high_disruption_action_rate,final_critical_compromised_hosts,strict_margin,passed_S0,margin_S0,passed_S1,margin_S1,passed_S2,margin_S2,passed_STRICT,margin_STRICT
stage1_pref_000_ckpt_096,,cost,high_disruption,-112.79475402832031,-25.423748016357422,4.616562366485596,0.939,0.525,-4.116562366485596,False,-0.46973364645625415,False,-0.766519510323492,False,-2.523979318004716,False,-4.116562366485596
stage1_pref_000_ckpt_191,,cost,mean_violation,-109.0921859741211,-30.797250747680664,11.166250228881836,0.99025,0.375,-10.666250228881836,False,-0.7803730438601731,False,-1.1398868599193013,False,-3.268799180058164,False,-10.666250228881836
stage1_pref_002_ckpt_191,,mean_violation,business,-163.86160278320312,-0.03700000047683716,38.86161804199219,0.00175,1.0,-38.36161804199219,False,-3.986262051066929,False,-4.718286151785077,False,-5.810307841069134,False,-38.36161804199219
stage1_pref_003_ckpt_191,,cost,high_disruption,-119.70206451416016,-29.0935001373291,10.50500202178955,0.99425,0.625,-10.00500202178955,False,-0.6818801074295185,False,-1.0215050740403988,False,-3.0326427364821065,False,-10.00500202178955
stage1_pref_004_ckpt_191,,mean_violation,business,-145.59881591796875,-19.194751739501953,25.202251434326172,0.7365,0.85,-24.702251434326172,False,-2.2336540849287196,False,-2.7083809844198954,False,-3.4165708790181077,False,-24.702251434326172
stage1_pref_005_ckpt_096,,mean_violation,high_disruption,-139.7053680419922,-19.241500854492188,18.30093765258789,0.89,0.975,-17.80093765258789,False,-1.3481593282460997,False,-1.6928883462956987,False,-2.2071495082799037,False,-17.80093765258789
stage2_ext_000_obj_0,,business,high_disruption,-130.9716339111328,-17.626001358032227,7.0381879806518555,0.66225,1.0,-6.5381879806518555,False,-0.10692162848829269,False,-0.2247083029582901,False,-1.4431356149716872,False,-6.5381879806518555
stage2_ext_001_obj_1,,business,mean_violation,-132.72312927246094,-15.98699951171875,7.9826250076293945,0.547,0.975,-7.4826250076293945,False,-0.1217245903186881,False,-0.18055346077568055,False,-1.2159539812934377,False,-7.4826250076293945
stage2_ext_002_obj_0,,mean_violation,business,-141.71644592285156,-18.987499237060547,24.124313354492188,0.7495,0.825,-23.624313354492188,False,-2.095345851466379,False,-2.549767969703525,False,-3.227667520713574,False,-23.624313354492188
stage2_ext_003_obj_0,,mean_violation,high_disruption,-140.24288940429688,-20.866750717163086,15.587811470031738,0.885,0.925,-15.087811470031738,False,-1.0000431456101202,False,-1.2936658573866644,False,-1.8923350685324463,False,-15.087811470031738
